name,geometry
Dasarahalli Tank,"POLYGON ((77.5126058 13.0398912, 77.5120489 13.0399265, 77.511652 13.0399056, 77.5112765 13.0398011, 77.5109761 13.0396757, 77.5108811 13.0396587, 77.5107846 13.0397344, 77.5107738 13.0398494, 77.5109401 13.0401473, 77.5111064 13.0412526, 77.511152 13.0415244, 77.5110421 13.0419477, 77.5108328 13.0421097, 77.5106639 13.0423109, 77.5107202 13.0423867, 77.5109133 13.0422456, 77.5110877 13.0420836, 77.511255 13.0420483, 77.5126809 13.0416733, 77.5128552 13.0416681, 77.5130939 13.0417465, 77.513212 13.0418196, 77.5133568 13.0418797, 77.5134185 13.0418797, 77.5134453 13.0418301, 77.5136867 13.0417308, 77.5138476 13.0416472, 77.5138943 13.0415362, 77.5138798 13.041365, 77.513802 13.0410201, 77.5137712 13.0409448, 77.5137377 13.0408633, 77.5136331 13.0407744, 77.5135043 13.0405445, 77.5132522 13.0404635, 77.5130859 13.0404191, 77.5129625 13.0403015, 77.5128525 13.0399748, 77.5127721 13.0398912, 77.5126058 13.0398912), (77.5119189 13.04033, 77.5119472 13.040301, 77.5119811 13.0402786, 77.5120192 13.0402638, 77.5120597 13.0402573, 77.5121007 13.0402593, 77.5121402 13.0402699, 77.5121765 13.0402885, 77.5122079 13.0403142, 77.512233 13.0403459, 77.5122516 13.0403856, 77.5122603 13.0404285, 77.5122584 13.0404721, 77.5122461 13.0405141, 77.512224 13.0405522, 77.5121934 13.0405842, 77.5121561 13.0406083, 77.5121139 13.0406232, 77.5120693 13.0406281, 77.5120274 13.0406233, 77.5119875 13.0406096, 77.5119517 13.0405877, 77.5119218 13.0405586, 77.5118991 13.0405239, 77.5118849 13.0404851, 77.5118799 13.0404442, 77.5118842 13.0404032, 77.5118977 13.0403642, 77.5119189 13.04033))"
Subramanyapura Lake,"POLYGON ((77.5414773 12.8969331, 77.5416863 12.8968774, 77.5420383 12.89678, 77.5423622 12.8967465, 77.5425715 12.8968302, 77.5426766 12.8970075, 77.5428859 12.8975931, 77.5430301 12.8977062, 77.5431642 12.89768, 77.5435853 12.8974108, 77.5437248 12.8972905, 77.5437704 12.8971727, 77.5437194 12.897016, 77.5435477 12.8965166, 77.5433493 12.8955832, 77.5431428 12.8952144, 77.5432232 12.8940928, 77.5431108 12.894075, 77.5430253 12.8940739, 77.5429019 12.8946413, 77.5426659 12.8947171, 77.54258 12.8949577, 77.5425769 12.8954445, 77.5424293 12.8959674, 77.542218 12.8961944, 77.5419385 12.8963047, 77.5418719 12.896516, 77.5416997 12.89671, 77.5414396 12.8968903, 77.5414773 12.8969331), (77.542777 12.8963344, 77.5428085 12.8963201, 77.542843 12.8963155, 77.5428773 12.8963211, 77.5429084 12.8963363, 77.5429335 12.8963597, 77.5429495 12.896387, 77.5429572 12.8964175, 77.542956 12.8964489, 77.5429461 12.8964788, 77.5429281 12.8965048, 77.5429036 12.8965251, 77.5428742 12.8965381, 77.5428423 12.8965427, 77.5428097 12.8965385, 77.5427796 12.8965255, 77.5427544 12.8965049, 77.5427361 12.8964782, 77.5427263 12.8964476, 77.5427256 12.8964155, 77.5427341 12.8963845, 77.5427511 12.8963571, 77.542777 12.8963344))"
Panathuru Kere,"POLYGON ((77.7062144 12.9336018, 77.7062759 12.9335699, 77.7063111 12.9334757, 77.7063593 12.9332042, 77.706414 12.9330002, 77.7064794 12.9328645, 77.7066098 12.9327779, 77.7068778 12.9326774, 77.7071577 12.9325914, 77.7073575 12.9325179, 77.7074447 12.9323887, 77.7074962 12.9322919, 77.7075286 12.9321894, 77.7075352 12.9321686, 77.7076366 12.9318482, 77.7076686 12.9315998, 77.7076553 12.9312879, 77.7075844 12.9305651, 77.7075411 12.9301701, 77.7075091 12.9301237, 77.7073484 12.9300582, 77.7071504 12.929974, 77.7070686 12.9299544, 77.706963 12.9299704, 77.7068917 12.9300185, 77.706819 12.9301533, 77.7067922 12.9303049, 77.7067994 12.9304605, 77.7067525 12.9306545, 77.7067068 12.930832, 77.7066707 12.9310567, 77.706636 12.9313108, 77.7066169 12.9313345, 77.7065876 12.9313417, 77.7065624 12.9313113, 77.7065483 12.9312266, 77.7065317 12.9310729, 77.7062806 12.9310488, 77.7060656 12.9310752, 77.7059826 12.9311916, 77.7059921 12.931412, 77.7059977 12.9315425, 77.7060407 12.931921, 77.7060802 12.9319451, 77.7061258 12.9319412, 77.7063029 12.9318484, 77.706331 12.9318484, 77.7063439 12.9318713, 77.7063605 12.9319007, 77.7063538 12.9319347, 77.7061446 12.9320445, 77.7060829 12.9320941, 77.7060561 12.9321438, 77.7060794 12.9323079, 77.7061196 12.9327013, 77.7061109 12.9331073, 77.7060947 12.9333185, 77.706092 12.9334855, 77.7060982 12.9335525, 77.7061443 12.9335915, 77.7062144 12.9336018), (77.7069077 12.931901, 77.7069305 12.9318842, 77.7069566 12.931873, 77.7069847 12.9318679, 77.7070132 12.9318693, 77.7070406 12.931877, 77.7070655 12.9318906, 77.7070865 12.9319095, 77.7071025 12.9319325, 77.7071126 12.9319585, 77.7071163 12.9319861, 77.7071134 12.9320138, 77.707104 12.9320401, 77.7070872 12.9320654, 77.7070644 12.9320857, 77.7070372 12.9321, 77.7070072 12.9321072, 77.7069763 12.9321069, 77.7069465 12.9320991, 77.7069196 12.9320843, 77.7068973 12.9320635, 77.706881 12.9320379, 77.7068717 12.9320092, 77.7068701 12.9319791, 77.7068761 12.9319496, 77.7068895 12.9319225, 77.7069077 12.931901))"
Deverabisanahalli Lake,"MULTIPOLYGON (((77.688017 12.92254, 77.6880813 12.9225822, 77.6881494 12.9226181, 77.6882207 12.9226476, 77.6882931 12.9226699, 77.6883672 12.9226856, 77.6884425 12.9226944, 77.6885183 12.9226963, 77.6884726 12.9225888, 77.6883657 12.9224475, 77.6880221 12.9224015, 77.6879022 12.9224388, 77.6879571 12.9224921, 77.688017 12.92254)), ((77.6885432 12.9227548, 77.6884628 12.9227511, 77.6883828 12.9227415, 77.6883039 12.9227261, 77.688224 12.9227041, 77.688146 12.9226762, 77.6880705 12.9226424, 77.6880199 12.9226252, 77.6879733 12.9225992, 77.6879324 12.9225653, 77.6879021 12.9225297, 77.6878781 12.9224898, 77.6878489 12.9224969, 77.6878425 12.9225483, 77.6878417 12.9225856, 77.6878439 12.9226228, 77.6879364 12.9232358, 77.6879486 12.9232704, 77.6879672 12.9233021, 77.6879914 12.92333, 77.6880171 12.9233507, 77.6880459 12.9233671, 77.688077 12.9233786, 77.6886411 12.9231859, 77.6885902 12.9228653, 77.6885432 12.9227548)), ((77.6860549 12.9228881, 77.6861163 12.9231247, 77.6861486 12.9232763, 77.6861807 12.9236613, 77.6861799 12.9240759, 77.6861862 12.9244372, 77.686256 12.924492, 77.6863695 12.924464, 77.6866118 12.9243423, 77.6867634 12.924131, 77.6868394 12.9239169, 77.687066 12.9238672, 77.6872377 12.9237451, 77.6876684 12.9235182, 77.6878645 12.9234512, 77.6878742 12.923415, 77.6878814 12.9233783, 77.6878877 12.9233164, 77.6878868 12.9232541, 77.6877862 12.9225548, 77.6877768 12.9225295, 77.6877648 12.9225052, 77.6877488 12.9224801, 77.6877301 12.9224568, 77.6860174 12.9225005, 77.6859673 12.922607, 77.6860549 12.9228881), (77.6869642 12.9230755, 77.6869902 12.9230784, 77.6870136 12.9230896, 77.687032 12.9231077, 77.687044 12.9231337, 77.6870452 12.9231622, 77.6870356 12.9231891, 77.6870164 12.9232106, 77.6869904 12.9232238, 77.6869613 12.9232266, 77.6869365 12.9232203, 77.6869152 12.9232064, 77.6868996 12.9231866, 77.6868915 12.9231629, 77.6868918 12.923138, 77.6869003 12.9231144, 77.6869166 12.9230945, 77.6869387 12.923081, 77.6869642 12.9230755)))"
Doddakannelli Lake,"MULTIPOLYGON (((77.6951355 12.9129328, 77.6950389 12.912219, 77.6949101 12.9116753, 77.694709 12.9117263, 77.6945333 12.9114008, 77.6944676 12.9112178, 77.6941645 12.9111968, 77.6935878 12.9109354, 77.6933305 12.9107184, 77.6929253 12.9104406, 77.6925739 12.9102419, 77.6924237 12.9110341, 77.6920563 12.9119674, 77.6919195 12.9122889, 77.6916754 12.9125916, 77.6913535 12.9127498, 77.6913884 12.9128884, 77.6919061 12.9128353, 77.6924372 12.912687, 77.69292 12.9125817, 77.6934135 12.9126112, 77.6939204 12.9126968, 77.6948485 12.9128727, 77.6951355 12.9129328), (77.6935531 12.9117747, 77.6935762 12.9117696, 77.6935996 12.9117726, 77.6936205 12.9117835, 77.6936361 12.9118008, 77.6936447 12.9118229, 77.6936445 12.9118466, 77.6936356 12.9118687, 77.6936191 12.9118861, 77.6935973 12.9118966, 77.6935731 12.9118988, 77.6935525 12.9118936, 77.6935346 12.9118823, 77.6935213 12.9118661, 77.693514 12.9118466, 77.6935133 12.9118259, 77.6935194 12.911806, 77.6935334 12.9117874, 77.6935531 12.9117747)), ((77.695511 12.9128112, 77.6954225 12.912291, 77.6951972 12.9118897, 77.6950684 12.9116452, 77.6949786 12.9116648, 77.6950617 12.9119184, 77.6951475 12.9124204, 77.6952213 12.9129419, 77.6954721 12.9129485, 77.695511 12.9128112)))"
Byrasandra Lake,"MULTIPOLYGON (((77.6614267 12.9777094, 77.6614799 12.9776398, 77.6615364 12.9775653, 77.6615547 12.9775183, 77.6615214 12.9775102, 77.6614051 12.9775216, 77.6613137 12.9775426, 77.661229 12.9775702, 77.6611841 12.9776009, 77.6611824 12.9776705, 77.6611974 12.9777191, 77.6612439 12.9777369, 77.6613037 12.9777483, 77.6613702 12.9777434, 77.6614267 12.9777094)), ((77.6624207 12.9786434, 77.6625144 12.9781452, 77.6626278 12.9778078, 77.6628575 12.97741, 77.6628757 12.9773554, 77.6627451 12.9773385, 77.6626395 12.9774455, 77.6620988 12.9775698, 77.6617126 12.977491, 77.6614502 12.9778033, 77.6613115 12.9778577, 77.6612046 12.9778791, 77.6612471 12.97827, 77.6613517 12.9783438, 77.661425 12.978437, 77.6614114 12.9789253, 77.6613799 12.9789593, 77.6611536 12.9789538, 77.6611318 12.9789855, 77.6611598 12.9790983, 77.661357 12.9791089, 77.661539 12.9791773, 77.6616776 12.979205, 77.6617876 12.9792498, 77.6619792 12.9793949, 77.6627583 12.9797397, 77.6628394 12.9797354, 77.662864 12.979693, 77.6624608 12.9787868, 77.6624207 12.9786434), (77.6615834 12.9789851, 77.6615467 12.9789188, 77.6615412 12.9788909, 77.6615793 12.9788803, 77.6616038 12.9788817, 77.6616174 12.9788976, 77.6616365 12.9788989, 77.661729 12.9789161, 77.6617685 12.9789387, 77.6617889 12.9789798, 77.6617889 12.9790275, 77.6617685 12.979054, 77.6617249 12.9790686, 77.6616583 12.9790567, 77.6615834 12.9789851)))"
Nayandahalli Lake,"POLYGON ((77.5209113 12.9383707, 77.5208402 12.93847, 77.5207898 12.9386075, 77.5207414 12.9395863, 77.5206886 12.9398568, 77.5206411 12.9401114, 77.5206028 12.9402698, 77.5206505 12.9404333, 77.5207299 12.9405444, 77.5216853 12.9409715, 77.5219761 12.9410698, 77.5224857 12.9407483, 77.5225072 12.9407012, 77.5224964 12.9406463, 77.5223663 12.9404411, 77.5221732 12.9397967, 77.5220754 12.939581, 77.5219573 12.9394216, 77.5213686 12.9389863, 77.5211486 12.9387576, 77.5209748 12.9384429, 77.5209113 12.9383707), (77.5213024 12.939649, 77.5213241 12.9396343, 77.5213495 12.939627, 77.521376 12.9396277, 77.5214009 12.9396363, 77.5214218 12.9396521, 77.5214366 12.9396735, 77.5214436 12.9396965, 77.5214435 12.9397205, 77.5214363 12.9397434, 77.5214225 12.9397633, 77.5214034 12.9397785, 77.5213807 12.9397876, 77.5213562 12.9397898, 77.5213288 12.9397839, 77.521305 12.9397695, 77.5212874 12.9397484, 77.5212779 12.9397227, 77.5212775 12.9396955, 77.5212864 12.9396696, 77.5213024 12.939649))"
Kalkere Lake,"POLYGON ((77.6697054 13.0480464, 77.6694855 13.0473226, 77.669287 13.0470143, 77.6690885 13.0461076, 77.6690134 13.0456242, 77.668933 13.0455013, 77.6688317 13.0455051, 77.6680827 13.0455327, 77.667793 13.045261, 77.6672888 13.0451983, 77.6664197 13.0455745, 77.665894 13.0457418, 77.6656043 13.0457, 77.6644993 13.0452296, 77.6619565 13.0450624, 77.6610768 13.0454073, 77.6593172 13.0455118, 77.6583624 13.0458986, 77.6582014 13.0462435, 77.6586306 13.0469124, 77.6587486 13.0474036, 77.6587164 13.0481143, 77.6587057 13.0486683, 77.6600253 13.0489087, 77.662096 13.049494, 77.6621067 13.049055, 77.6630509 13.0484906, 77.6649713 13.0490237, 77.6663232 13.0489505, 77.6665163 13.0490237, 77.6674819 13.0494731, 77.6694667 13.0494626, 77.6700354 13.0498075, 77.6713228 13.0509259, 77.6716554 13.0514955, 77.6718056 13.0515477, 77.6722777 13.0513335, 77.6722026 13.0511558, 77.6717627 13.0511454, 77.6714086 13.0508736, 77.6708186 13.0502152, 77.6699817 13.0491386, 77.6697054 13.0480464), (77.6640151 13.0468575, 77.6640543 13.0468453, 77.6640952 13.0468426, 77.6641357 13.0468495, 77.6641733 13.0468655, 77.6642059 13.0468898, 77.6642317 13.046921, 77.664249 13.0469573, 77.664257 13.0469965, 77.6642552 13.0470365, 77.6642428 13.0470768, 77.6642204 13.0471128, 77.6641895 13.0471422, 77.664152 13.0471632, 77.6641103 13.0471743, 77.664067 13.0471748, 77.6640251 13.0471648, 77.663987 13.0471449, 77.6639575 13.047119, 77.663935 13.0470871, 77.6639207 13.047051, 77.6639152 13.0470127, 77.663919 13.0469741, 77.6639318 13.0469375, 77.6639529 13.0469047, 77.6639812 13.0468776, 77.6640151 13.0468575), (77.6636499 13.0472157, 77.6636866 13.0471894, 77.6637276 13.0471711, 77.6637715 13.0471614, 77.6638166 13.0471607, 77.6638608 13.047169, 77.6639024 13.0471859, 77.6639396 13.0472107, 77.6639707 13.0472425, 77.6639945 13.0472797, 77.66401 13.047321, 77.6640165 13.0473644, 77.6640134 13.04741, 77.6640005 13.0474538, 77.6639782 13.047494, 77.6639478 13.0475287, 77.6639104 13.0475562, 77.6638679 13.0475754, 77.6638222 13.0475853, 77.6637753 13.0475855, 77.6637295 13.0475761, 77.6636879 13.0475579, 77.663651 13.0475318, 77.6636205 13.0474988, 77.6635977 13.0474604, 77.6635835 13.0474182, 77.6635786 13.047374, 77.6635832 13.0473298, 77.6635971 13.0472875, 77.6636196 13.0472489, 77.6636499 13.0472157), (77.6601206 13.0474964, 77.6601192 13.0472521, 77.660123 13.0472163, 77.660136 13.0471827, 77.6601575 13.0471534, 77.660186 13.0471306, 77.6602196 13.0471157, 77.660256 13.0471097, 77.6602885 13.0471121, 77.6603196 13.0471217, 77.6603476 13.047138, 77.6603711 13.04716, 77.6603888 13.0471867, 77.6603998 13.0472166, 77.6604035 13.0472481, 77.6604035 13.0474898, 77.6604029 13.0475256, 77.6603929 13.04756, 77.6603742 13.0475908, 77.6603481 13.0476159, 77.6603162 13.0476336, 77.6602807 13.0476427, 77.660244 13.0476427, 77.6602095 13.0476339, 77.6601784 13.0476171, 77.6601526 13.0475933, 77.6601336 13.047564, 77.6601227 13.047531, 77.6601206 13.0474964))"
Horamavu Agara Lake,"MULTIPOLYGON (((77.6576971 13.0344855, 77.6598803 13.0341048, 77.6598752 13.0340327, 77.6597315 13.0334269, 77.6596075 13.0330255, 77.6593999 13.0329129, 77.6584253 13.0328246, 77.6578759 13.032894, 77.657656 13.0330508, 77.657598 13.0335981, 77.6576763 13.0338319, 77.6576361 13.0343664, 77.657665 13.0344404, 77.6576971 13.0344855)), ((77.6591188 13.0343071, 77.6576924 13.0345499, 77.6576038 13.0346269, 77.6575537 13.0350308, 77.6574778 13.0357639, 77.6573999 13.0365328, 77.6573634 13.0369048, 77.6573522 13.0370512, 77.6573968 13.0371541, 77.6574573 13.0372502, 77.6574204 13.0374033, 77.6574033 13.0375132, 77.6574334 13.037614, 77.6578561 13.0376922, 77.6585094 13.0377654, 77.6591109 13.0378767, 77.6598963 13.0380563, 77.6600817 13.0380944, 77.6601883 13.0380308, 77.6601381 13.0378938, 77.660125 13.0374424, 77.6601177 13.0369081, 77.6600982 13.0365086, 77.6600738 13.0355267, 77.6600565 13.0350031, 77.6600316 13.0347331, 77.65991 13.0342522, 77.659903 13.0342034, 77.6591188 13.0343071), (77.6587388 13.0359616, 77.6587703 13.0359584, 77.6588015 13.035963, 77.6588307 13.035975, 77.6588558 13.0359937, 77.6588753 13.036018, 77.6588887 13.0360487, 77.658893 13.0360818, 77.6588881 13.0361148, 77.6588742 13.0361452, 77.6588523 13.0361709, 77.6588242 13.0361899, 77.6587918 13.0362008, 77.6587576 13.0362027, 77.6587259 13.0361962, 77.658697 13.0361821, 77.6586727 13.0361611, 77.6586547 13.0361348, 77.6586443 13.0361049, 77.658642 13.0360734, 77.6586481 13.0360424, 77.6586622 13.0360139, 77.6586832 13.0359899, 77.6587092 13.0359723, 77.6587388 13.0359616)))"
Goshala Lake,"MULTIPOLYGON (((77.6974195 12.9874656, 77.6974252 12.9874804, 77.6974368 12.9874916, 77.6974499 12.9874966, 77.697464 12.9874966, 77.697477 12.9874916, 77.6975393 12.9874454, 77.6976058 12.9874053, 77.6976771 12.9873712, 77.6977516 12.9873441, 77.6978284 12.9873243, 77.6980832 12.987225, 77.6984024 12.9870943, 77.698398 12.9869754, 77.6984024 12.9868564, 77.6984128 12.986758, 77.6984292 12.9866604, 77.6983159 12.9865984, 77.6982054 12.9865317, 77.698098 12.9864605, 77.697976 12.9863713, 77.6978588 12.9862763, 77.6977466 12.9861756, 77.6977359 12.9861181, 77.6977412 12.9859299, 77.6977208 12.9859065, 77.6976958 12.9858877, 77.6976673 12.9858744, 77.6976366 12.9858672, 77.6976026 12.9858666, 77.6975693 12.9858734, 77.6975384 12.9858873, 77.6975115 12.9859076, 77.6974899 12.9859333, 77.697477 12.9867545, 77.6974475 12.987353, 77.6974207 12.9874497, 77.6974195 12.9874656)), ((77.6985824 12.9870256, 77.6986706 12.9869924, 77.6987654 12.9869524, 77.6988584 12.9869087, 77.6988803 12.9868923, 77.6988951 12.9868696, 77.6989013 12.9868434, 77.6988995 12.9868226, 77.6988922 12.9868029, 77.6988798 12.9867859, 77.6987776 12.986765, 77.698676 12.9867415, 77.6985669 12.986713, 77.6984587 12.9866813, 77.6984412 12.9867775, 77.6984319 12.9868747, 77.6984304 12.9869558, 77.6984346 12.9870368, 77.6984376 12.9870489, 77.6984451 12.987059, 77.698456 12.9870655, 77.6984694 12.9870674, 77.6984824 12.9870639, 77.6985824 12.9870256)))"
Mahadevapura Lake,"POLYGON ((77.6907311 12.9870616, 77.6908207 12.9871961, 77.6909646 12.9875075, 77.6911169 12.9877738, 77.69132 12.9881846, 77.6914059 12.9884844, 77.6916294 12.9887422, 77.691883 12.9890501, 77.6919798 12.9890303, 77.6922358 12.9889365, 77.692471 12.9888984, 77.6927355 12.988815, 77.6929849 12.9887175, 77.6932685 12.9886103, 77.6935085 12.9885784, 77.6935929 12.9885648, 77.6935824 12.9883613, 77.6935629 12.9880377, 77.6935494 12.9879443, 77.6935743 12.9857487, 77.693552 12.9855261, 77.6935318 12.9854719, 77.6935295 12.9854375, 77.6935147 12.9853884, 77.693431 12.9853482, 77.6932965 12.9854244, 77.6931669 12.9856911, 77.6930868 12.985796, 77.693009 12.9858698, 77.6929492 12.985962, 77.69291 12.9860041, 77.6928234 12.9861478, 77.6927749 12.9861901, 77.6926518 12.9862291, 77.6921749 12.9864183, 77.6919056 12.9865373, 77.691532 12.9866883, 77.6911663 12.9866994, 77.6908613 12.9866135, 77.690695 12.9869189, 77.6907311 12.9870616), (77.6921921 12.9875737, 77.6922202 12.9875538, 77.6922526 12.9875416, 77.6922872 12.9875379, 77.6923215 12.9875431, 77.6923533 12.9875568, 77.6923804 12.987578, 77.692401 12.9876052, 77.6924142 12.9876392, 77.6924173 12.9876754, 77.6924099 12.9877111, 77.6923927 12.9877433, 77.6923671 12.9877697, 77.6923349 12.9877881, 77.6922988 12.9877971, 77.6922615 12.987796, 77.6922304 12.9877869, 77.6922025 12.9877708, 77.6921794 12.9877486, 77.6921626 12.9877216, 77.6921529 12.9876914, 77.6921509 12.9876599, 77.6921568 12.9876288, 77.6921703 12.9876, 77.6921921 12.9875737))"
Yelachenahalli Kere,"POLYGON ((77.5652253 12.9003556, 77.5652613 12.9003776, 77.5653005 12.9003939, 77.5653438 12.9004044, 77.5653884 12.9004077, 77.5654329 12.9004039, 77.5657859 12.9002959, 77.5658287 12.9002868, 77.5658694 12.900271, 77.5659068 12.900249, 77.5659402 12.9002214, 77.5659663 12.9001916, 77.5659876 12.9001584, 77.5660036 12.9001224, 77.566091 12.8994161, 77.5661181 12.899117, 77.5660885 12.8989112, 77.5659913 12.8988393, 77.5658412 12.8988015, 77.5652802 12.8988278, 77.5652059 12.898888, 77.5651358 12.8990224, 77.5652227 12.89999, 77.5651999 12.9002514, 77.5651973 12.9003139, 77.5652253 12.9003556), (77.5655429 12.8994866, 77.5655702 12.899472, 77.5656008 12.8994667, 77.5656316 12.899471, 77.5656594 12.8994847, 77.5656813 12.8995063, 77.565695 12.8995332, 77.5656993 12.8995629, 77.5656938 12.8995924, 77.5656791 12.8996187, 77.5656567 12.8996392, 77.5656287 12.8996519, 77.5655982 12.8996553, 77.5655696 12.8996498, 77.5655441 12.8996363, 77.5655238 12.899616, 77.5655106 12.8995907, 77.5655057 12.8995628, 77.5655095 12.8995346, 77.5655217 12.8995089, 77.5655429 12.8994866))"
Haraluru Lake,"POLYGON ((77.6561118 12.8934522, 77.6561692 12.8934665, 77.6562446 12.8933719, 77.6562272 12.8933216, 77.6559483 12.8929817, 77.6556677 12.8925361, 77.655628 12.8924225, 77.6556249 12.8923203, 77.6556135 12.8920903, 77.6556351 12.8918135, 77.6558517 12.8910103, 77.6559858 12.8907279, 77.6559774 12.8906836, 77.6559477 12.890657, 77.6558944 12.8906603, 77.6556647 12.8907142, 77.6550607 12.8907265, 77.6545441 12.8906742, 77.6543499 12.8907065, 77.6541545 12.890749, 77.65411 12.8907911, 77.654114 12.8908893, 77.6542211 12.8911682, 77.6543011 12.8914137, 77.6544084 12.8918256, 77.6544147 12.8919546, 77.6544436 12.8920209, 77.654628 12.892166, 77.6548988 12.8923903, 77.6553764 12.8927339, 77.6555065 12.8928334, 77.6556456 12.8929661, 77.655752 12.8931093, 77.6559446 12.8933061, 77.6561118 12.8934522), (77.6550056 12.8917095, 77.6550385 12.8917087, 77.6550711 12.8917188, 77.6550984 12.8917389, 77.6551173 12.8917666, 77.6551258 12.8917989, 77.6551227 12.8918321, 77.6551086 12.8918625, 77.6550849 12.8918866, 77.6550544 12.8919016, 77.6550205 12.891906, 77.6549883 12.8918996, 77.6549599 12.8918836, 77.6549382 12.8918596, 77.6549255 12.8918301, 77.654923 12.8917981, 77.6549312 12.8917671, 77.654949 12.8917403, 77.6549748 12.8917203, 77.6550056 12.8917095))"
ITI Layout Lake,"POLYGON ((77.6388466 12.902405, 77.6387628 12.9029113, 77.6387858 12.902961, 77.6389095 12.9029809, 77.6390794 12.9029705, 77.6391926 12.9029754, 77.6393775 12.9029661, 77.6395384 12.9029335, 77.6397894 12.9029, 77.6398852 12.9028296, 77.6399312 12.9027296, 77.6399983 12.9024594, 77.6400413 12.9021852, 77.6400136 12.9018879, 77.6398672 12.9017693, 77.6398275 12.9017814, 77.639819 12.9019269, 77.639771 12.9019569, 77.6397169 12.9018503, 77.6396915 12.9018436, 77.6396788 12.9018966, 77.6396355 12.9019308, 77.6396044 12.9019067, 77.6396172 12.9016799, 77.639558 12.9016758, 77.6395311 12.9017285, 77.6394402 12.9017366, 77.6393768 12.9016337, 77.639257 12.9014816, 77.6391702 12.9013879, 77.6391373 12.9013548, 77.6390891 12.9013516, 77.6390578 12.9013621, 77.6389995 12.9016122, 77.6389571 12.9018286, 77.6388466 12.902405), (77.6394588 12.9023191, 77.639474 12.9023158, 77.6394882 12.9023174, 77.6395011 12.9023231, 77.6395116 12.9023325, 77.6395185 12.9023446, 77.6395213 12.9023583, 77.6395195 12.902372, 77.6395135 12.9023846, 77.6395037 12.9023947, 77.6394912 12.9024013, 77.6394772 12.9024038, 77.6394618 12.9024015, 77.6394481 12.9023943, 77.6394377 12.902383, 77.6394319 12.9023689, 77.6394314 12.9023537, 77.6394362 12.9023393, 77.6394457 12.9023273, 77.6394588 12.9023191))"
Panathur Chikka Kere,"POLYGON ((77.708399 12.9320888, 77.7084235 12.932147, 77.708522 12.9321529, 77.7086274 12.9321137, 77.7088399 12.9319915, 77.7089499 12.9318328, 77.7090507 12.9316692, 77.7091317 12.9314555, 77.7091116 12.9313769, 77.7089337 12.9312346, 77.7087898 12.9310938, 77.7087044 12.9309535, 77.7086043 12.9308602, 77.708489 12.9307657, 77.708427 12.9307048, 77.7083813 12.9306977, 77.7083507 12.9307161, 77.7083132 12.9307506, 77.708289 12.9308067, 77.7083293 12.9312563, 77.708348 12.9315439, 77.7083534 12.93197, 77.7083775 12.9320379, 77.708399 12.9320888), (77.7086325 12.9314595, 77.7086493 12.9314622, 77.7086643 12.9314702, 77.7086758 12.9314826, 77.7086825 12.9314979, 77.7086836 12.9315145, 77.708679 12.9315306, 77.7086692 12.9315442, 77.7086554 12.931554, 77.7086396 12.9315588, 77.708623 12.9315583, 77.7086075 12.9315528, 77.7085946 12.9315426, 77.7085857 12.931529, 77.7085817 12.9315134, 77.7085831 12.9314973, 77.7085896 12.9314825, 77.7086007 12.9314705, 77.7086156 12.9314624, 77.7086325 12.9314595))"
Munekolala Lake,"POLYGON ((77.7096828 12.9598716, 77.7096277 12.9598296, 77.7088076 12.960139, 77.7081817 12.9601806, 77.7076232 12.9601321, 77.7073811 12.9601087, 77.7071384 12.9600303, 77.7071109 12.9600565, 77.7070381 12.9600464, 77.7069975 12.9601035, 77.7069788 12.9601571, 77.7069774 12.9602067, 77.7070284 12.9602329, 77.7070435 12.9602674, 77.7071802 12.9605564, 77.7072451 12.9608504, 77.7073118 12.9611585, 77.7072877 12.9613454, 77.7074141 12.9615248, 77.7075895 12.961731, 77.7076238 12.9619005, 77.7077687 12.9619528, 77.7079716 12.9620276, 77.7081415 12.9620939, 77.7083793 12.9620041, 77.7087292 12.9618293, 77.7088201 12.9617907, 77.7089117 12.961659, 77.7091853 12.961182, 77.7095554 12.9603725, 77.7096855 12.9599131, 77.7096828 12.9598716), (77.7080856 12.961752, 77.7080727 12.9617669, 77.7080553 12.9617766, 77.7080356 12.96178, 77.7080178 12.9617772, 77.7080017 12.9617691, 77.707989 12.9617567, 77.7079808 12.961741, 77.7079781 12.9617236, 77.7079809 12.9617062, 77.7079892 12.9616906, 77.708002 12.9616782, 77.7080181 12.9616702, 77.7080359 12.9616675, 77.7080556 12.961671, 77.7080729 12.9616808, 77.7080858 12.9616958, 77.7080926 12.9617141, 77.7080925 12.9617336, 77.7080856 12.961752))"
