,Unnamed: 0,name,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,encroachment_pct,elevation,slope,flow_accumulation_km2,flow_direction_code,water_ratio,weed_ratio,slope_bin
0,32,Chikkabettahalli Lake,13.091796866719235,77.55472093578341,1.86306800114052,0.5215245058431189,0.4959411987603879,0.0255833070827309,0.9120383390533848,0.6163906691233317,0.2956476699300529,1.5233158345964215,2.523840613023846,0.0259756317771961,0.2901423846096463,81.76383436696291,934.619824111396,3.211884757840358,0.0083299810066819,2,0.2661959726949237,0.013731816051303275,Mid (2-5°)
1,119,Panathur Chikka Kere,12.931470394744794,77.70863691702442,0.9048249040252088,0.4739722989754272,0.4691411493558198,0.0063887690031762,0.8527020245381274,0.4859963715871174,0.3683202584095874,0.734791194065069,0.9898987937608108,0.0029569435608308,0.5095063952013402,81.20810897183236,873.7079745413703,2.538609757958079,0.4251021146774292,16,0.5184883254967851,0.007060779356044566,Mid (2-5°)
2,35,Chokkanahalli Lake,13.08461334299774,77.62922109689285,2.022320230141434,0.4558992244336496,0.4146471392149083,0.0412520852187411,1.0284739288245308,0.4179313624064127,0.610542566418118,1.5262763552008731,0.954972362733729,0.0543256796713436,1.1465483148063709,75.47154661525248,906.2280997304582,3.1739407409976597,0.283231109380722,64,0.20503535149124694,0.02039839418303009,Mid (2-5°)
3,120,Panathuru Kere,12.931615520659848,77.70685455116339,4.149419714241775,2.738648957746418,2.69067935862323,0.0524778239994422,4.448213682342231,2.7432141474405927,1.7114579465634214,2.8383098958418103,1.195444451721291,0.0344638650851779,2.0423954177188253,68.40257412621021,874.2939167208848,4.369802640032364,0.8001863956451416,2,0.6484471429554817,0.012647027202219647,Mid (2-5°)
4,95,Krishna Nagara Lake,12.874035219254122,77.57974859667902,4.421779224144433,2.770499086692162,2.670206791858549,0.1002922948336133,4.383426257412979,2.6937663983662925,1.6896598590466865,2.799415817847658,0.9411869539053924,0.1347068356617447,3.034443859465855,63.30971484423931,925.5259454025214,3.0703783238001425,0.8003767728805542,128,0.603876099756022,0.022681434271069646,Mid (2-5°)
5,82,Kalena Agrahara lake,12.865571511226433,77.5897673039016,1.4854003719733744,0.9832053978345284,0.917920492007187,0.0652849058273414,2.183097233904172,1.059453474299113,1.126873805559445,0.8953289949100469,1.4884403128186394,0.0372848720954445,1.2627570611736825,60.27526394924691,914.5367732897502,7.194632432615536,0.2834692001342773,128,0.6179616683330416,0.043951049871227325,High (>5°)
6,64,Hemmigepura Kere,12.873692674348904,77.48348887477314,5.563321210856716,3.911532132314045,3.284386527894961,0.6452966500794654,6.738515811027078,3.325223000208537,3.439132404197244,3.01298196906844,0.5790942034612917,0.7133595549365274,4.979521283355413,54.15797245696802,782.5835711250074,1.8873662517107104,1.2589259147644043,32,0.5903643531287647,0.11599126234526619,Low (<2°)
7,73,ITI Layout Lake,12.902307413057462,77.6393836670545,1.7001640024461937,1.068629469800463,0.9605399676453836,0.1158214924935733,1.828872787217782,0.9837803088912466,0.8531664239442115,0.9031738196783128,1.414485210917354,0.1515368900737886,0.8985579648904238,53.12274688670197,894.331523924407,1.9016421160210932,0.2334145009517669,8,0.5649690066742737,0.06812371766895987,Low (<2°)
8,76,Jogi Kere,12.863048062208511,77.5384474629139,0.5836929358299104,0.1643916916237625,0.1101771156869526,0.0542145759368098,0.9014306043323194,0.1114374773661295,0.7899931269661898,0.2832899184437671,0.2977303650276333,0.0674705400673859,1.113532209835676,48.53406663916153,872.8330404217927,2.140309291061911,0.1167238727211952,8,0.18875869301090614,0.09288201485550968,Mid (2-5°)
9,129,Sankey Tank,13.009638629490368,77.57421476509407,12.466672382181216,10.036376224384684,9.53178305233326,0.535875144239438,14.80569592922386,9.941547596317866,4.912571472350973,5.901822141963983,0.7573866828768862,0.5575106186830607,6.776148346586539,47.340797616527865,929.2549744095024,8.118587198835796,0.0666612982749939,2,0.7645811777292847,0.04298461753156935,High (>5°)
10,2,Agrahara Lake,13.089486907464831,77.62484842909419,4.2667081689094095,2.328796247991425,2.0337600129839326,0.2995922984538358,3.1404075474618156,2.07347997525533,1.0717683893400702,1.9579269591691764,1.097729260714163,0.3674206679699467,1.881019925740559,45.88846674436681,899.1844822109275,6.437908737502493,2.7988803386688232,32,0.4766578665500273,0.0702162619503487,High (>5°)
11,160,Yelenahalli Lake,12.86663700135948,77.61409749446442,1.203013886649936,0.4077878001882515,0.2309913173575806,0.1816415281747057,1.391672907464021,0.2526261131032307,1.1438918397048252,0.5459504751472225,0.5052076411418042,0.2154427963291741,1.3351152918447855,45.38189302764783,912.9954441913442,4.581657471309218,0.1500739902257919,64,0.192010516188494,0.15098872106998495,Mid (2-5°)
12,19,Basavanapura Pond,12.84469348669497,77.5892059273374,1.672612217254639,1.0043199051372054,0.4941667053985595,0.5148403066403259,1.9684505437853448,0.5040413030691707,1.4692546960130082,0.7232013933388703,1.0075554461664935,0.2778121544911502,1.153064984142827,43.23783994152004,926.0395248822446,2.482478427161894,0.3251890242099762,1,0.2954460695077701,0.30780613780602706,Mid (2-5°)
13,90,Kodigehalli Lake,12.99951764050912,77.7284285287259,15.38054554175882,12.125534946574293,11.849036294766094,0.3025344170584086,14.312076235668703,12.076160978137745,2.292411546466304,6.6168389092952715,3.223296737164766,0.1895295754341674,2.9936199232906766,43.020833632528046,871.4603842067994,2.7182767935131524,6.816653251647949,1,0.7703911582716925,0.019669940590664688,Mid (2-5°)
