name,flood_freq_pct
Chikkabettahalli Lake,9.735021096306257
Panathur Chikka Kere,6.965299120499283
Chokkanahalli Lake,10.127264442062788
Panathuru Kere,8.017746084097539
Krishna Nagara Lake,6.771600360898267
Kalena Agrahara lake,7.359602595664928
Hemmigepura Kere,9.291900852288158
ITI Layout Lake,3.9312040673174815
Jogi Kere,7.189943637220276
Sankey Tank,3.67364724937715
Agrahara Lake,13.790323602046476
Yelenahalli Lake,6.172056289913599
Basavanapura Pond,8.303425971012432
Kodigehalli Lake,5.555093525788302
Iblur Lake,7.300751517832554
Bhoganahalli Lake,11.91504250921134
Somasundarapalya Lake,9.383561282772868
Benniganahalli Lake,7.696566656039726
Nayandahalli Lake,16.17784641263427
Yelachenahalli Kere,6.048936552153172
Gubbalala Kere,6.702260905373501
Deverabisanahalli Lake,6.650917034288457
Avalahalli Lake,9.693444698095648
Goshala Lake,8.43068296554663
Doddkammanahalli Lake,15.17637323962586
Basapura Lake,9.498552482696303
Nagaraesh Nagenahalli Lake,12.08482452281563
Basavanapura Kere,12.37008880794506
Nallurahalli Lake,10.016566275120004
K100,2.445226948580315
Thubarahalli Lake,11.290605230174934
Kacharakanahalli Lake,10.488330149995624
Palace Grounds Lake,4.666428145930178
Thippasandra Lake,8.98741297253827
Kundalahalli Lake,5.290002560447433
Thirumenahalli Lake,19.15764875168735
Srigandakaval Lake,5.715512109442602
Lingadeeranahalli Lake,7.3173935725269805
Garudacharpalya Lake,7.538476027853043
Gowdana Kere,5.073508975394882
Carmelaram Lake,10.669804613915916
Lalbagh Tank,6.676923373364169
Byrasandra Lake,8.858096979510881
Lakshmipura Lake,10.264095536083275
Doddathogur Lake,13.107439959838759
Mathikere Lake,5.233319629805736
Kasavanahalli Lake,6.781814232629147
Sarakki Kere,3.7608105801925977
Gottigere Tank,30.97569979760372
Shivapura Old Lake,9.089274721907694
Akshaynagar Lake,4.888745859840422
Chunchagatta Lake,5.874959114860254
Horamavu Lake,15.147558770920151
Nagarbhavi Lake,4.872202306628524
Dasarahalli Tank,7.7418724864982
Horamavu Agara Lake,31.439980280896584
Devasandra lake,9.306015778640923
Kattigenahalli Lake,12.506546057410604
Thalaghattapura Lake,15.404908438790935
Agara Lake,5.7640788609599145
Vrishabhavati,7.085327904524118
Gunjuru Palya Lake,24.90390959910963
Subramanyapura Lake,18.36959521018343
Konanakunte Lake,4.068249223038392
Halagevader Halli Lake,5.995180917035713
B Narayanapura Lake,6.050301027145722
Doddakalasandra Lake,13.183308796986742
Puttenhalli Lake,6.73125460273618
Mylasandra Tank,8.126348562704605
Konasandra Lake,22.60786610776944
Chinnappanahalli Lake,5.837578109717757
Dubasi Palya Kere,11.285488937545752
Singasandra Lake,3.4690423141943847
Andrahalli Lake,7.286566301746514
Ambalipura Lower Lake,4.767388508311082
Deepanjali Nagara Kere,4.402927313550742
Mallathahalli Lake,27.45795942821129
Doddakannelli Lake,11.539240930223993
Gantiganahalli Lake,6.771354460772468
Bheemanakatte Lake,9.392216560489645
Yelahanka Lake,0.9242514077168886
Mahadevapura Lake,6.763264619118302
ISRO Layout Lake,3.6673817987641217
Nagarbhavi Thorai,2.778935933510433
Kaggadasapura Lake,22.61287314362771
Hosakere,24.804511676523266
Haralur Lake,5.10980509653912
Chikkalasandra lake,2.2289294541397795
Subrayana Lake,6.121359622183783
Puttenahalli Lake,12.164233565070875
Singapura Kere,21.281926567730473
Lal Bahadur Shastri Nagar Lake,28.966372608720988
Chelekere,6.33986301646618
Yediyur Lake,4.15389911543493
Vengayyana Lake,10.853043388423488
Hebbal Lake,1.7960573658916994
Doddabidirakallu Kere,11.351976658932164
Kadiranpalaya Kere,6.550585236270261
Vijinapura Lake,4.039405104048513
Narsipura Lake,9.830816491479208
Sampigehalli Lake,22.615478971629475
Kogilu Lake,36.16856250707532
Munekolala Lake,5.974910833692691
Veerasagara Lake,19.284825768274107
Sheelavathana Kere,6.729627610036888
Gunjuru Lake,12.980459469229258
Nagawara Lake,2.4888813727320875
Kuppareddi Kere,2.861625542467915
Bagalagunte Lake,8.841418417184508
Parappana Agrahara Lake,6.652020729633943
Halasuru lake,2.594812369016178
Palanahalli Lake,13.641169088046308
Begur Lake,16.40369619546121
Chikka Bellanduru Lake,20.062327461788062
Ramapura Kere,28.924602230643135
Abbigere Lake,16.895198279591362
Ullal Lake,19.758074998710715
Kaikondrahalli Lake,5.552526634140306
B Channasandra Lake,1.8807849553716496
Chandrasekhar Layout Lake,12.677274948829789
Amruthalli Lake,13.223370285754516
Kowdenahalli Lake,6.905769188915337
Sunkalpalya Lake,6.111012037517185
Attur Lake,31.986496002033515
Haraluru Lake,5.852301859957566
Pattandur Agrahara Kunte,9.311577380272135
Anchepalya Lake,6.894892557468122
Varthur Lake,24.55143631968488
Subedharana Lake,9.99416621689703
Pattandur Agrahara Lake,5.398595205496325
Allalasandra Lake,3.6310726919749543
Chudahalli Lake,1.3109111870516916
Ambalipura Upper Lake,7.561355636575016
Doddanekundi Lake,28.274660219767828
Hulimavu Lake,31.19625196420383
Herohalli Kere,7.017966757727367
Bellandur Lake,31.725350492079343
Kengeri Lake,8.908438189366658
Madiwala Lake,3.7809202992862976
Doddabommasandra Kere,49.62883236733547
Hoodi Lake,15.2833471260183
Kammagondanahalli Lake,14.334509925741079
Dore Kere,5.624119752107546
Byrasandra Melina Kere,6.394984915240201
Uttarahalli Lake,4.715820370630919
Hosakerahalli Lake,5.326556619000396
Arekere lake,27.531883329695866
Kalkere Lake,1.4216962298295044
Jakkur Lake,2.249491448951189
