,Unnamed: 0,name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year,sar_flood_freq_pct,potential_ha,static_water_ha,static_weed_ha,elevation,slope,flow_accumulation_km2,csr_ratio,log_flow,urban_stress,urban_surge,water_retention_ratio,weed_clogging_ratio,biological_clogging,rain_intensity_impact
0,115,Abbigere Lake,0.2906080774095313,79.80999792739749,9.220000267028809,2020,16.895198279591362,9.899677234894996,1.2069153976390563,4.2939707005085666,883.0164336267909,3.1536198584008215,5.506420135498047,0.5556608964122729,1.8727894025874594,1.6002101689862183,2.679406551316607,0.12179159512775442,0.433310853494621,0.7791797224682073,2.679406551316607
1,277,Abbigere Lake,0.2463530090744993,58.779998514801264,8.269999504089355,2021,16.895198279591362,9.899677234894996,1.2069153976390563,4.2939707005085666,883.0164336267909,3.1536198584008215,5.506420135498047,0.5556608964122729,1.8727894025874594,1.356523169608356,2.0373392628770297,0.12179159512775442,0.433310853494621,0.7791797224682073,2.0373392628770297
2,439,Abbigere Lake,0.2754890283286466,117.69999729841948,9.09000015258789,2022,16.895198279591362,9.899677234894996,1.2069153976390563,4.2939707005085666,883.0164336267909,3.1536198584008215,5.506420135498047,0.5556608964122729,1.8727894025874594,1.5169583326976515,2.5041953095436873,0.12179159512775442,0.433310853494621,0.7791797224682073,2.5041953095436873
3,601,Abbigere Lake,0.3983140341613764,58.109998618252575,4.605000019073486,2023,16.895198279591362,9.899677234894996,1.2069153976390563,4.2939707005085666,883.0164336267909,3.1536198584008215,5.506420135498047,0.5556608964122729,1.8727894025874594,2.19328441795766,1.8342361349103755,0.12179159512775442,0.433310853494621,0.7791797224682073,1.8342361349103755
4,763,Abbigere Lake,0.4072872281641024,76.2749980604276,6.420000076293945,2024,16.895198279591362,9.899677234894996,1.2069153976390563,4.2939707005085666,883.0164336267909,3.1536198584008215,5.506420135498047,0.5556608964122729,1.8727894025874594,2.242694594094001,2.614784035887087,0.12179159512775442,0.433310853494621,0.7791797224682073,2.614784035887087
5,925,Abbigere Lake,0.3419913552807692,97.92499818746,6.605000019073486,2025,16.895198279591362,9.899677234894996,1.2069153976390563,4.2939707005085666,883.0164336267909,3.1536198584008215,5.506420135498047,0.5556608964122729,1.8727894025874594,1.8831480848842936,2.258852908152448,0.12179159512775442,0.433310853494621,0.7791797224682073,2.258852908152448
6,59,Agara Lake,0.0288369378225608,76.81999846175313,7.144999980926514,2020,5.7640788609599145,26.72469894477696,18.592973515327305,4.4614193589673015,877.3054382884401,1.8447189205626704,0.0083355968818068,0.0003117894425901246,0.00830104765363673,0.00024037308899459438,0.20603992019217598,0.6954622363144183,0.16687748637763916,0.1934332017011199,0.20603992019217598
7,221,Agara Lake,0.0229417547308921,63.28999811597168,5.569999694824219,2021,5.7640788609599145,26.72469894477696,18.592973515327305,4.4614193589673015,877.3054382884401,1.8447189205626704,0.0083355968818068,0.0003117894425901246,0.00830104765363673,0.0001912332191980006,0.12778556684980105,0.6954622363144183,0.16687748637763916,0.1934332017011199,0.12778556684980105
8,383,Agara Lake,0.0221583927254853,97.71999745536596,8.40999984741211,2022,5.7640788609599145,26.72469894477696,18.592973515327305,4.4614193589673015,877.3054382884401,1.8447189205626704,0.0083355968818068,0.0003117894425901246,0.00830104765363673,0.00018470342930840576,0.18635207944022897,0.6954622363144183,0.16687748637763916,0.1934332017011199,0.18635207944022897
9,545,Agara Lake,0.0190249447038584,70.4099979000166,6.529999732971191,2023,5.7640788609599145,26.72469894477696,18.592973515327305,4.4614193589673015,877.3054382884401,1.8447189205626704,0.0083355968818068,0.0003117894425901246,0.00830104765363673,0.00015858426975002887,0.12423288383598703,0.6954622363144183,0.16687748637763916,0.1934332017011199,0.12423288383598703
10,707,Agara Lake,0.0246835831899729,84.55499797128141,7.349999904632568,2024,5.7640788609599145,26.72469894477696,18.592973515327305,4.4614193589673015,877.3054382884401,1.8447189205626704,0.0083355968818068,0.0003117894425901246,0.00830104765363673,0.00020575239907015685,0.1814243340922909,0.6954622363144183,0.16687748637763916,0.1934332017011199,0.1814243340922909
11,869,Agara Lake,0.0210831899729663,97.16499748453498,7.514999866485596,2025,5.7640788609599145,26.72469894477696,18.592973515327305,4.4614193589673015,877.3054382884401,1.8447189205626704,0.0083355968818068,0.0003117894425901246,0.00830104765363673,0.00017574097259719828,0.15844016983193218,0.6954622363144183,0.16687748637763916,0.1934332017011199,0.15844016983193218
12,10,Agrahara Lake,0.645747440482586,82.59999796561897,7.794999599456787,2020,13.790323602046476,4.2667081689094095,2.0337600129839326,0.2995922984538358,899.1844822109275,6.437908737502493,2.7988803386688232,0.6544473525259399,1.3347063755964415,1.8073698149124262,5.0336010399120035,0.475543322728648,0.07005207898724451,0.12784774060287177,5.0336010399120035
13,172,Agrahara Lake,0.5370918970360251,64.42999852448702,4.339999675750732,2021,13.790323602046476,4.2667081689094095,2.0337600129839326,0.2995922984538358,899.1844822109275,6.437908737502493,2.7988803386688232,0.6544473525259399,1.3347063755964415,1.5032559506724708,2.330978658984695,0.475543322728648,0.07005207898724451,0.12784774060287177,2.330978658984695
14,334,Agrahara Lake,0.4103148168045556,114.18499760236593,11.094999313354492,2022,13.790323602046476,4.2667081689094095,2.0337600129839326,0.2995922984538358,899.1844822109275,6.437908737502493,2.7988803386688232,0.6544473525259399,1.3347063755964415,1.148422073418771,4.552442610705719,0.475543322728648,0.07005207898724451,0.12784774060287177,4.552442610705719
15,496,Agrahara Lake,0.4349598612411549,60.82999871019274,5.019999980926514,2023,13.790323602046476,4.2667081689094095,2.0337600129839326,0.2995922984538358,899.1844822109275,6.437908737502493,2.7988803386688232,0.6544473525259399,1.3347063755964415,1.2174006037379879,2.1834984951343963,0.475543322728648,0.07005207898724451,0.12784774060287177,2.1834984951343963
16,658,Agrahara Lake,0.5822959677047997,83.36999793257564,4.539999961853027,2024,13.790323602046476,4.2667081689094095,2.0337600129839326,0.2995922984538358,899.1844822109275,6.437908737502493,2.7988803386688232,0.6544473525259399,1.3347063755964415,1.6297767352951,2.6436236711669623,0.475543322728648,0.07005207898724451,0.12784774060287177,2.6436236711669623
17,820,Agrahara Lake,0.6264378578335815,101.86999773513526,4.84499979019165,2025,13.790323602046476,4.2667081689094095,2.0337600129839326,0.2995922984538358,899.1844822109275,6.437908737502493,2.7988803386688232,0.6544473525259399,1.3347063755964415,1.7533246036882268,3.035091289771809,0.475543322728648,0.07005207898724451,0.12784774060287177,3.035091289771809
18,50,Akshaynagar Lake,0.9467213996233012,66.52499807905406,6.309999942779541,2020,4.888745859840422,1.1875241815095785,0.4043407821665246,0.4673310824460298,901.4487622337364,2.535673409391561,0.1584077477455139,0.13227937288567132,0.14704643094317218,0.14996800465680774,5.973811977451197,0.33764727962054136,0.3902477208075416,0.5300510328197847,5.973811977451197
19,212,Akshaynagar Lake,0.9490719261105084,78.96499759331346,5.670000076293945,2021,4.888745859840422,1.1875241815095785,0.4043407821665246,0.4673310824460298,901.4487622337364,2.535673409391561,0.1584077477455139,0.13227937288567132,0.14704643094317218,0.1503403462636624,5.381237893455024,0.33764727962054136,0.3902477208075416,0.5300510328197847,5.381237893455024
20,374,Akshaynagar Lake,0.9537729790849232,111.43999750632791,8.09999942779541,2022,4.888745859840422,1.1875241815095785,0.4043407821665246,0.4673310824460298,901.4487622337364,2.535673409391561,0.1584077477455139,0.13227937288567132,0.14704643094317218,0.15108502947737182,7.725560584834602,0.33764727962054136,0.3902477208075416,0.5300510328197847,7.725560584834602
21,536,Akshaynagar Lake,0.9381028025035412,63.59999836515635,4.654999732971191,2023,4.888745859840422,1.1875241815095785,0.4043407821665246,0.4673310824460298,901.4487622337364,2.535673409391561,0.1584077477455139,0.13227937288567132,0.14704643094317218,0.1486027520983406,4.366868295153511,0.33764727962054136,0.3902477208075416,0.5300510328197847,4.366868295153511
22,698,Akshaynagar Lake,0.9506389437686468,96.47499763779342,7.039999961853027,2024,4.888745859840422,1.1875241815095785,0.4043407821665246,0.4673310824460298,901.4487622337364,2.535673409391561,0.1584077477455139,0.13227937288567132,0.14704643094317218,0.15058857400156556,6.6924981278672755,0.33764727962054136,0.3902477208075416,0.5300510328197847,6.6924981278672755
23,860,Akshaynagar Lake,0.937319293674472,99.87499761022627,8.489999771118164,2025,4.888745859840422,1.1875241815095785,0.4043407821665246,0.4673310824460298,901.4487622337364,2.535673409391561,0.1584077477455139,0.13227937288567132,0.14704643094317218,0.148478638229389,7.957840588760907,0.33764727962054136,0.3902477208075416,0.5300510328197847,7.957840588760907
24,130,Allalasandra Lake,0.1833243286386129,79.80999792739749,9.220000267028809,2020,3.6310726919749543,13.94838485435934,12.030288524179396,1.809916261396222,903.3574948912132,1.9445742989334456,0.0083300024271011,0.0005967740905567279,0.008295499431157375,0.0015270921025063251,1.690250359000888,0.8618682354514834,0.12966516400577446,0.13067794226993457,1.690250359000888
25,292,Allalasandra Lake,0.1862651800734292,58.779998514801264,8.269999504089355,2021,3.6310726919749543,13.94838485435934,12.030288524179396,1.809916261396222,903.3574948912132,1.9445742989334456,0.0083300024271011,0.0005967740905567279,0.008295499431157375,0.0015515894020960888,1.540412946836374,0.8618682354514834,0.12966516400577446,0.13067794226993457,1.540412946836374
26,454,Allalasandra Lake,0.1957661562641977,117.69999729841948,9.09000015258789,2022,3.6310726919749543,13.94838485435934,12.030288524179396,1.809916261396222,903.3574948912132,1.9445742989334456,0.0083300024271011,0.0005967740905567279,0.008295499431157375,0.00163073255682502,1.7795143903131019,0.8618682354514834,0.12966516400577446,0.13067794226993457,1.7795143903131019
27,616,Allalasandra Lake,0.1837203305541571,58.109998618252575,4.605000019073486,2023,3.6310726919749543,13.94838485435934,12.030288524179396,1.809916261396222,903.3574948912132,1.9445742989334456,0.0083300024271011,0.0005967740905567279,0.008295499431157375,0.0015303907994239452,0.8460321257060807,0.8618682354514834,0.12966516400577446,0.13067794226993457,0.8460321257060807
28,778,Allalasandra Lake,0.1762454106754749,76.2749980604276,6.420000076293945,2024,3.6310726919749543,13.94838485435934,12.030288524179396,1.809916261396222,903.3574948912132,1.9445742989334456,0.0083300024271011,0.0005967740905567279,0.008295499431157375,0.001468124698692136,1.1314955499830066,0.8618682354514834,0.12966516400577446,0.13067794226993457,1.1314955499830066
29,940,Allalasandra Lake,0.1795024496862682,97.92499818746,6.605000019073486,2025,3.6310726919749543,13.94838485435934,12.030288524179396,1.809916261396222,903.3574948912132,1.9445742989334456,0.0083300024271011,0.0005967740905567279,0.008295499431157375,0.0014952558415572072,1.185613683601539,0.8618682354514834,0.12966516400577446,0.13067794226993457,1.185613683601539
30,74,Ambalipura Lower Lake,0.6428128206230915,76.81999846175313,7.144999980926514,2020,4.767388508311082,2.194087861926509,0.6297312315622965,1.141198655070386,889.1963868556297,2.455391372852358,0.0833573639392852,0.03781943786325547,0.08006488952531905,0.05358318223351749,4.592897591091307,0.28571058460975896,0.5177645931378199,0.640788086962886,4.592897591091307
31,236,Ambalipura Lower Lake,0.6090594646400727,63.28999811597168,5.569999694824219,2021,4.767388508311082,2.194087861926509,0.6297312315622965,1.141198655070386,889.1963868556297,2.455391372852358,0.0833573639392852,0.03781943786325547,0.08006488952531905,0.050769591454668736,3.3924610321750066,0.28571058460975896,0.5177645931378199,0.640788086962886,3.3924610321750066
32,398,Ambalipura Lower Lake,0.6248548556543321,97.71999745536596,8.40999984741211,2022,4.767388508311082,2.194087861926509,0.6297312315622965,1.141198655070386,889.1963868556297,2.455391372852358,0.0833573639392852,0.03781943786325547,0.08006488952531905,0.05208625361200768,5.255029240707648,0.28571058460975896,0.5177645931378199,0.640788086962886,5.255029240707648
33,560,Ambalipura Lower Lake,0.5951901160540397,70.4099979000166,6.529999732971191,2023,4.767388508311082,2.194087861926509,0.6297312315622965,1.141198655070386,889.1963868556297,2.455391372852358,0.0833573639392852,0.03781943786325547,0.08006488952531905,0.04961347911698198,3.8865912988999716,0.28571058460975896,0.5177645931378199,0.640788086962886,3.8865912988999716
34,722,Ambalipura Lower Lake,0.6664813324404524,84.55499797128141,7.349999904632568,2024,4.767388508311082,2.194087861926509,0.6297312315622965,1.141198655070386,889.1963868556297,2.455391372852358,0.0833573639392852,0.03781943786325547,0.08006488952531905,0.05555612698697851,4.898637729876712,0.28571058460975896,0.5177645931378199,0.640788086962886,4.898637729876712
35,884,Ambalipura Lower Lake,0.6120483630175279,97.16499748453498,7.514999866485596,2025,4.767388508311082,2.194087861926509,0.6297312315622965,1.141198655070386,889.1963868556297,2.455391372852358,0.0833573639392852,0.03781943786325547,0.08006488952531905,0.05101873814449581,4.599543366359449,0.28571058460975896,0.5177645931378199,0.640788086962886,4.599543366359449
36,132,Ambalipura Upper Lake,0.4884217446332686,76.81999846175313,7.144999980926514,2020,7.561355636575016,3.4347974712147415,0.3293523425367766,1.993490423476774,889.4964659034346,2.727876231823471,0.5168262720108032,0.15003096011579295,0.41662017305084686,0.2524291894478247,3.4897733560887985,0.09560862294195682,0.5786959727341556,0.8545326982680986,3.4897733560887985
37,294,Ambalipura Upper Lake,0.477083102935575,63.28999811597168,5.569999694824219,2021,7.561355636575016,3.4347974712147415,0.3293523425367766,1.993490423476774,889.4964659034346,2.727876231823471,0.5168262720108032,0.15003096011579295,0.41662017305084686,0.24656908152953952,2.657352737756944,0.09560862294195682,0.5786959727341556,0.8545326982680986,2.657352737756944
