name,Actual,Predicted
Doddakalasandra Lake,13.183308796986742,12.07121653049221
Doddathogur Lake,13.107439959838763,10.761921241401351
Nagaraesh Nagenahalli Lake,12.08482452281563,9.867159190266758
K100,2.445226948580315,2.7778906693241643
Yelahanka Lake,0.9242514077168886,1.4763014545002529
Attur Lake,31.986496002033515,38.099687958361955
Nayandahalli Lake,16.17784641263427,11.090880986285072
Chokkanahalli Lake,10.127264442062788,12.55132113168998
Sunkalpalya Lake,6.111012037517185,11.995505205901281
B Narayanapura Lake,6.050301027145722,7.275934799698335
Kacharakanahalli Lake,10.488330149995624,2.6702809280476
Lal Bahadur Shastri Nagar Lake,28.966372608720988,18.75600590485616
Kogilu Lake,36.16856250707532,29.179971564497073
Basavanapura Pond,8.303425971012432,10.438991471891939
Somasundarapalya Lake,9.383561282772868,6.450168988623387
Jakkur Lake,2.249491448951189,2.1889510835483357
Mathikere Lake,5.233319629805736,17.894852207553136
Kaikondrahalli Lake,5.552526634140306,13.368124942595493
Kasavanahalli Lake,6.781814232629148,3.238338261889715
Yelenahalli Lake,6.172056289913599,8.137350562363522
Lotus Pond,2.2528853760698464,10.460800519274688
Chelekere,6.33986301646618,14.478192499272195
Deepanjali Nagara Kere,4.402927313550742,6.543043341124165
Pattandur Agrahara Lake,5.398595205496325,4.787258455932323
Krishna Nagara Lake,6.771600360898266,7.937662134547823
Gottigere Tank,30.97569979760372,35.641134031906866
Ambalipura Lower Lake,4.767388508311082,11.728143313601297
Ullal Lake,19.758074998710715,18.72372114924319
Konanakunte Lake,4.068249223038392,2.4575427603930504
Bagalagunte Lake,8.841418417184508,8.87621872721195
Chikka Bellanduru Lake,20.062327461788065,20.78340329637858
Goshala Lake,8.43068296554663,9.25117083212477
Devasandra lake,9.306015778640925,7.446227777395849
Konasandra Lake,22.60786610776944,13.248294072784917
Lalbagh Tank,6.676923373364169,3.4413328330066344
Doddabidirakallu Kere,11.351976658932164,10.3931491630235
Seegehalli Lake,6.2794260155603006,16.94159896610812
Gantiganahalli Lake,6.771354460772468,4.702462505173836
Kengeri Lake,8.908438189366658,6.540372961565996
Thippasandra Lake,8.98741297253827,11.217129470720677
Kammagondanahalli Lake,14.33450992574108,13.383829258587474
