,name,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,encroachment_pct
32,Chikkabettahalli Lake,13.091796866719235,77.55472093578341,1.86306800114052,0.5215245058431189,0.4959411987603879,0.02558330708273095,0.9120383390533847,0.6163906691233317,0.2956476699300529,1.5233158345964217,2.523840613023846,0.025975631777196116,0.2901423846096463,81.76383436696291
119,Panathur Chikka Kere,12.931470394744794,77.70863691702442,0.9048249040252087,0.4739722989754272,0.4691411493558198,0.0063887690031762005,0.8527020245381274,0.48599637158711745,0.36832025840958743,0.734791194065069,0.9898987937608107,0.0029569435608308835,0.5095063952013402,81.20810897183236
35,Chokkanahalli Lake,13.08461334299774,77.62922109689285,2.022320230141434,0.45589922443364966,0.4146471392149083,0.04125208521874118,1.0284739288245308,0.4179313624064127,0.610542566418118,1.5262763552008733,0.954972362733729,0.0543256796713436,1.1465483148063709,75.47154661525248
120,Panathuru Kere,12.931615520659848,77.70685455116339,4.149419714241775,2.738648957746418,2.69067935862323,0.052477823999442265,4.448213682342231,2.7432141474405927,1.7114579465634214,2.8383098958418103,1.195444451721291,0.03446386508517793,2.0423954177188253,68.40257412621021
95,Krishna Nagara Lake,12.874035219254122,77.57974859667902,4.421779224144433,2.770499086692162,2.670206791858549,0.10029229483361334,4.383426257412979,2.6937663983662925,1.6896598590466863,2.7994158178476574,0.9411869539053924,0.1347068356617447,3.034443859465855,63.30971484423931
82,Kalena Agrahara lake,12.865571511226433,77.5897673039016,1.4854003719733744,0.9832053978345284,0.917920492007187,0.06528490582734146,2.183097233904172,1.059453474299113,1.126873805559445,0.8953289949100469,1.4884403128186394,0.037284872095444586,1.2627570611736825,60.27526394924691
64,Hemmigepura Kere,12.873692674348904,77.48348887477314,5.563321210856716,3.911532132314045,3.284386527894961,0.6452966500794654,6.738515811027078,3.3252230002085366,3.439132404197244,3.01298196906844,0.5790942034612917,0.7133595549365274,4.979521283355413,54.15797245696802
73,ITI Layout Lake,12.902307413057462,77.6393836670545,1.7001640024461937,1.068629469800463,0.9605399676453835,0.1158214924935733,1.8288727872177821,0.9837803088912466,0.8531664239442115,0.9031738196783129,1.414485210917354,0.15153689007378868,0.8985579648904238,53.12274688670197
76,Jogi Kere,12.863048062208511,77.5384474629139,0.5836929358299104,0.16439169162376252,0.11017711568695264,0.05421457593680982,0.9014306043323194,0.11143747736612952,0.7899931269661898,0.2832899184437671,0.2977303650276333,0.06747054006738595,1.113532209835676,48.53406663916153
129,Sankey Tank,13.009638629490368,77.57421476509407,12.466672382181216,10.036376224384684,9.531783052333259,0.535875144239438,14.80569592922386,9.941547596317866,4.912571472350973,5.901822141963983,0.7573866828768862,0.5575106186830607,6.776148346586539,47.340797616527865
2,Agrahara Lake,13.089486907464831,77.62484842909419,4.2667081689094095,2.328796247991425,2.0337600129839326,0.29959229845383584,3.1404075474618156,2.07347997525533,1.0717683893400702,1.9579269591691764,1.0977292607141633,0.3674206679699467,1.8810199257405593,45.88846674436681
160,Yelenahalli Lake,12.86663700135948,77.61409749446442,1.203013886649936,0.40778780018825156,0.2309913173575806,0.18164152817470577,1.391672907464021,0.25262611310323074,1.1438918397048252,0.5459504751472225,0.5052076411418042,0.2154427963291741,1.3351152918447857,45.38189302764783
19,Basavanapura Pond,12.84469348669497,77.5892059273374,1.672612217254639,1.0043199051372054,0.4941667053985595,0.5148403066403259,1.9684505437853448,0.5040413030691707,1.4692546960130082,0.7232013933388703,1.0075554461664937,0.27781215449115026,1.153064984142827,43.23783994152004
90,Kodigehalli Lake,12.99951764050912,77.7284285287259,15.38054554175882,12.125534946574291,11.849036294766094,0.3025344170584086,14.312076235668705,12.076160978137745,2.292411546466304,6.6168389092952715,3.223296737164766,0.1895295754341674,2.9936199232906766,43.020833632528046
74,Iblur Lake,12.922434059675629,77.6668228891874,2.5612345260171323,1.4709327253708182,1.238357737428254,0.34052941849303403,2.8760692163684323,1.3504787818230521,1.6547634413660586,1.098907522341161,1.2547015267699997,0.32418649982128267,1.4930876276811587,42.905384539307526
24,Bhoganahalli Lake,12.922956546158623,77.69897954422261,3.678421464221431,1.8633548993907254,1.2863014336405236,0.6190346427623276,2.636315122658723,1.2884986417134603,1.3897976579573885,1.4658250951400456,1.1701670625868652,0.2864086346266005,2.160233939422407,39.849297025845296
138,Somasundarapalya Lake,12.898483924287731,77.64804602911603,2.4274632010785275,1.7898904080663944,1.7651868876732724,0.0263119963382895,2.0560049279441084,1.8102052617390951,0.2490292832602706,0.9547596884643953,1.7795045663123037,0.030415548316107804,0.3140967912930756,39.33158237126698
22,Benniganahalli Lake,12.996943369030944,77.66575216261633,5.834561927771472,4.412243901381149,4.075821320452722,0.3675353236055063,6.044442637100719,4.176901579356474,1.9014390715585348,2.273865058004342,1.8925255541224262,0.3213061406563154,1.7541801025280923,38.97233564667727
116,Nayandahalli Lake,12.93995517072385,77.52145065959428,3.386000341671215,2.552480326014999,1.0870115320766676,1.4677291679816156,3.4350960339360452,1.1549620963546654,2.284977596918742,1.3050962891013953,1.1973968627201652,1.4438847500650247,0.9394480189075344,38.54389124063833
158,Yelachenahalli Kere,12.89955272481895,77.56561653883097,1.5494923143813193,1.1779982704446834,0.9857855616181818,0.2255347473528494,1.9716469819571303,1.0338877492493275,0.9926626855174544,0.5815835142447278,1.1400151003424952,0.23440669134302075,0.9041076994647854,37.53381083900001
