,name,lat,lon,year,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha
353,Bellandur Lake,12.934814572221793,77.66379709908344,2025,315.40890498445964,232.05157962951057,68.6650886138916,169.082747721857,263.4544815066411,68.6650886138916,200.4856495989872,0.3373544951495003,1.4190362259659106,70.47180602581251,48.048648880696064
352,Bellandur Lake,12.934814572221793,77.66379709908344,2024,315.40890498445964,138.97586649762908,61.47683234176636,78.58403885785872,153.6643833509587,61.47683234176636,93.27255571118825,11.44685948064767,9.83225216562906,32.44968002436324,20.45490730089374
351,Bellandur Lake,12.934814572221793,77.66379709908344,2023,315.40890498445964,138.51138425607132,57.2784173026889,118.40987738656452,161.03593767932665,57.29915938399072,140.91729778462428,7.953656305790329,1.901681181443159,40.73689782082646,36.911006492049275
350,Bellandur Lake,12.934814572221793,77.66379709908344,2022,315.40890498445964,196.89274877357937,26.79552067718506,173.53626888542635,220.26885751755063,26.81265370238061,196.895244604202,3.396714546870813,2.887321879673379,48.40276360087972,35.146444563437115
349,Bellandur Lake,12.934814572221793,77.66379709908344,2021,315.40890498445964,155.45103602980967,3.332483477783203,155.31541184768076,174.51605856314268,3.332483477783203,174.38043438101377,9.962147419831512,4.091976212858314,45.10019383954815,35.943239676642385
348,Bellandur Lake,12.934814572221793,77.66379709908344,2020,315.40890498445964,203.05648627349865,44.14584091949463,163.69623080856334,222.77867754882823,44.14584091949463,183.4184220838928,0.6124405818864413,5.070928433448944,71.77209169027903,33.372664566713276
317,Varthur Lake,12.94721129204019,77.73629477017032,2025,154.43985890591773,89.84411253482895,23.34674124589509,74.02528415042954,106.53051379292803,23.374776846313477,90.71168540852864,1.677696432270723,6.616939003011663,39.94653896791056,21.019935518628287
316,Varthur Lake,12.94721129204019,77.73629477017032,2024,154.43985890591773,96.5600522239954,4.630392729187012,93.49895936968632,105.50507568701646,4.630392729187012,102.44398283270736,0.2908802808305328,6.990801555391197,32.928307598706475,14.578251209797568
315,Varthur Lake,12.94721129204019,77.73629477017032,2023,154.43985890591773,53.05002788851572,13.174170571899412,40.389265229061365,68.48760974060056,13.222605800628662,55.82684708114623,3.493630462963626,5.192273818401263,35.01048278204233,25.67423571866801
314,Varthur Lake,12.94721129204019,77.73629477017032,2022,154.43985890591773,127.13212277644132,10.43864844683778,118.90987241865862,146.01469803444664,10.471508406829834,137.78086122185508,4.216284056169096,5.666783676976223,29.705598245014908,17.867888979851216
313,Varthur Lake,12.94721129204019,77.73629477017032,2021,154.43985890591773,41.538275245421175,0.0,41.538275245421175,54.22904772372977,0.0,54.22904772372977,17.127111115043487,4.7525617712761346,15.291174974828984,18.279565415000164
312,Varthur Lake,12.94721129204019,77.73629477017032,2020,154.43985890591773,119.49186378684848,16.164252334484026,108.09660948378614,133.96602195054615,16.21508099143533,122.526624941197,0.880321459907083,7.671879626629398,48.09071546953704,17.46696841740626
389,Yellamallappa Chetty Lake,13.0256978741721,77.72832072308441,2025,137.53985920500804,108.2758094330642,77.12371235473034,33.10725239804438,121.47720024218088,77.37891578545364,46.06414949960449,0.5229086849945664,6.676273454871086,27.153000301899645,22.069898722962023
388,Yellamallappa Chetty Lake,13.0256978741721,77.72832072308441,2024,137.53985920500804,109.11713095472446,71.72779710271499,38.334954237123384,118.97342210644888,71.83481468520817,48.08764581540578,0.9726381694060684,8.994286570775651,28.29594856047688,17.63922020535636
387,Yellamallappa Chetty Lake,13.0256978741721,77.72832072308441,2023,137.53985920500804,122.82705675672048,79.15482680092008,45.4430785233711,137.38609141138704,79.35751032402486,59.820126727926215,0.8642841737036612,5.343594889750762,26.60976995662016,23.58777142761828
386,Yellamallappa Chetty Lake,13.0256978741721,77.72832072308441,2022,137.53985920500804,125.4087224826558,86.28316677955178,42.31528003347063,141.43296581398454,87.42861796993182,58.10361656330186,0.8408128947747923,6.45162874399522,26.3122587849875,22.43855404232548
385,Yellamallappa Chetty Lake,13.0256978741721,77.72832072308441,2021,137.53985920500804,122.41030526472213,82.4861842283002,40.71901508043774,135.41767219330424,82.65222303740858,53.57891430787333,0.8497013367716473,6.235503829953064,26.53945394203036,22.44663963299022
384,Yellamallappa Chetty Lake,13.0256978741721,77.72832072308441,2020,137.53985920500804,109.99161220017376,84.86044294652304,27.659250364685057,119.0240036680752,84.95888073132384,36.602356622817126,0.7352360649707269,7.710266350702023,25.55114728629617,19.76270048389508
137,Yelahanka Lake,13.11353974982512,77.59347334803519,2025,96.00122626501349,92.1324167009032,89.7566547676595,2.7475364942243994,106.17039333537676,90.19528437994263,16.536586061147055,11.605453204872273,4.0651168094201156,2.9641996825573504,17.930643060542106
136,Yelahanka Lake,13.11353974982512,77.59347334803519,2024,96.00122626501349,89.78708338802865,86.24404184133192,4.123685806944604,101.40540764371087,86.40018463287353,15.624779304324878,7.85146534016029,5.1241893231799525,2.370503788042256,13.5638209878869
135,Yelahanka Lake,13.11353974982512,77.59347334803519,2023,96.00122626501349,90.12273239997717,83.98064085131776,6.906742739978866,101.86836408129524,84.22209260406494,18.44975906725716,7.270676163901533,3.78885606792375,6.103451701860613,15.975303332456695
134,Yelahanka Lake,13.11353974982512,77.59347334803519,2022,96.00122626501349,91.54144332485724,88.33273898450963,4.1685631196504485,105.46146397739489,88.62676690979004,17.909243075905596,10.231016835099757,4.779418088178448,4.787322473413806,17.254893681613698
