,name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year
942,Ambalipura Upper Lake,0.4812456224425852,97.16499748453498,7.514999866485596,2025
120,Amruthalli Lake,0.5997476298079284,79.817578704384,9.21612836304369,2020
282,Amruthalli Lake,0.5092136611484992,58.795350267296016,8.259321205936144,2021
444,Amruthalli Lake,0.5576613695534706,117.69044660722297,9.095447984590638,2022
606,Amruthalli Lake,0.6743135039544139,58.1173891966819,4.606127625567075,2023
768,Amruthalli Lake,0.6579125116667486,76.29427605720649,6.414891882241285,2024
930,Amruthalli Lake,0.6007208822518054,97.93571724171558,6.600217879629558,2025
127,Anchepalya Lake,0.0516896227747517,76.25999812595546,5.414999961853027,2020
289,Anchepalya Lake,0.050790005342438,62.13499832805246,8.03499984741211,2021
451,Anchepalya Lake,0.0666760824577671,107.0749971345067,11.130000114440918,2022
613,Anchepalya Lake,0.0687270873887759,57.074998607859015,4.304999828338623,2023
775,Anchepalya Lake,0.0904069463975388,74.58999807480723,8.385000228881836,2024
937,Anchepalya Lake,0.0835262547053369,98.86999696306884,8.869999885559082,2025
73,Andrahalli Lake,0.6895918486422086,76.25999812595546,5.414999961853027,2020
235,Andrahalli Lake,0.6643675972472589,62.13499832805246,8.03499984741211,2021
397,Andrahalli Lake,0.613894527375407,107.0749971345067,11.130000114440918,2022
559,Andrahalli Lake,0.6474746575195236,57.074998607859015,4.304999828338623,2023
721,Andrahalli Lake,0.765077278827168,74.58999807480723,8.385000228881836,2024
883,Andrahalli Lake,0.7186547065922698,98.86999696306884,8.869999885559082,2025
146,Arekere lake,0.4922407145117535,78.18398694309282,6.2491052132933635,2020
308,Arekere lake,0.4426034084938905,74.80542316225304,5.777736596116716,2021
470,Arekere lake,0.4421702034834599,105.88921362554866,7.7580526161276495,2022
632,Arekere lake,0.5158242723845633,69.80188688895396,5.413841024942487,2023
794,Arekere lake,0.4599776945505269,91.23337138594444,7.381946773520792,2024
956,Arekere lake,0.451414982748609,94.76452987184751,7.754579597675507,2025
123,Attur Lake,0.0,72.05499899107963,7.204999923706055,2020
285,Attur Lake,0.0,68.73999839555472,9.994999885559082,2021
447,Attur Lake,0.0,127.49449767544866,10.699999809265137,2022
609,Attur Lake,0.0,60.35999889485538,6.355000019073486,2023
