name,sar_flood_freq_pct
Chikkabettahalli Lake,20.77646375960124
Panathur Chikka Kere,22.087381236048092
Chokkanahalli Lake,21.293091265875905
Panathuru Kere,30.840643579642744
Krishna Nagara Lake,32.09690693518922
Kalena Agrahara lake,13.980061377120123
Hemmigepura Kere,37.24706958102736
ITI Layout Lake,10.853212230799945
Jogi Kere,9.148299597416909
Sankey Tank,74.00314097610908
Agrahara Lake,36.1084884275784
Yelenahalli Lake,8.884333573781069
Basavanapura Pond,11.295312453979504
Iblur Lake,19.244281393628956
Kodigehalli Lake,69.55987301676797
Bhoganahalli Lake,26.578120741955463
Somasundarapalya Lake,24.208266066935987
Benniganahalli Lake,38.57423210048116
Nayandahalli Lake,16.17784641263427
Yelachenahalli Kere,12.114101875350613
Deverabisanahalli Lake,23.994462365737608
Gubbalala Kere,10.366011964494032
Avalahalli Lake,35.51023916077654
Goshala Lake,9.097815514914268
Doddkammanahalli Lake,29.743701339523277
Basapura Lake,18.968226651394556
Nagaraesh Nagenahalli Lake,13.008387768365296
Basavanapura Kere,32.823670068499204
Nallurahalli Lake,42.67957032948379
K100,2.9314748350940056
Thubarahalli Lake,44.0296642048599
Kacharakanahalli Lake,10.488330149995624
Palace Grounds Lake,17.990444168603553
Kundalahalli Lake,41.309914235080804
Thippasandra Lake,10.768125176825402
Thirumenahalli Lake,33.02350014307814
Srigandakaval Lake,5.715512109442602
Lingadeeranahalli Lake,7.372196039101379
Garudacharpalya Lake,12.056699204103095
Gowdana Kere,5.073508975394882
Lalbagh Tank,57.37975820772364
Carmelaram Lake,11.079473226279765
Byrasandra Lake,19.346052668081285
Lakshmipura Lake,11.45852428461794
Doddathogur Lake,32.58493039630026
Mathikere Lake,13.629160730834505
Kasavanahalli Lake,76.86431484874929
Sarakki Kere,72.38167741439405
Gottigere Tank,32.258451561563696
Shivapura Old Lake,9.609613177242728
Akshaynagar Lake,7.429797718050908
Chunchagatta Lake,26.00882497829285
Horamavu Lake,15.147558770920151
Nagarbhavi Lake,4.872202306628524
Dasarahalli Tank,34.27247240495879
Devasandra lake,30.295141908576273
Kattigenahalli Lake,43.987908603427805
Horamavu Agara Lake,60.88826366539255
Thalaghattapura Lake,15.583393031360583
Agara Lake,75.1817084258293
Vrishabhavati,11.432261378529784
Gunjuru Palya Lake,26.97437382844961
Subramanyapura Lake,19.301040966381752
Konanakunte Lake,4.068249223038392
Halagevader Halli Lake,10.878543498895967
B Narayanapura Lake,7.247195369635692
Doddakalasandra Lake,14.671027855590854
Puttenhalli Lake,13.229149169658678
Mylasandra Tank,11.147726652166085
Konasandra Lake,41.853428707099276
Singasandra Lake,11.438996080308534
Chinnappanahalli Lake,17.354980455105192
Dubasi Palya Kere,11.322802381655197
Andrahalli Lake,24.172745047706766
Ambalipura Lower Lake,8.564986008701156
Deepanjali Nagara Kere,8.122198262930413
Mallathahalli Lake,41.05579573016929
Doddakannelli Lake,45.0402410536624
Gantiganahalli Lake,67.90673854867453
Bheemanakatte Lake,10.808253993288991
Yelahanka Lake,93.57719018464385
Mahadevapura Lake,48.10394109510117
ISRO Layout Lake,8.573860863333723
Nagarbhavi Thorai,2.778935933510433
Kaggadasapura Lake,22.61287314362771
Hosakere,24.980801497929686
Haralur Lake,50.320230764048496
Chikkalasandra lake,2.2289294541397795
Subrayana Lake,7.168597289173472
Puttenahalli Lake,17.38601900496694
Singapura Kere,21.323335206241783
Lal Bahadur Shastri Nagar Lake,29.21578695839022
Yediyur Lake,24.525792194966073
Chelekere,11.486989799497037
Vengayyana Lake,10.853043388423488
Doddabidirakallu Kere,11.351976658932164
Hebbal Lake,91.54369361592441
Vijinapura Lake,8.089234661219399
Narsipura Lake,9.830816491479208
Kadiranpalaya Kere,14.907879974786962
Sampigehalli Lake,24.284150321369992
Kogilu Lake,44.87575615818681
Munekolala Lake,30.2156531082187
Veerasagara Lake,34.29543231871868
Gunjuru Lake,13.145134521080607
Sheelavathana Kere,28.628208697887985
Nagawara Lake,84.41969145840785
Kuppareddi Kere,17.917120956980057
Parappana Agrahara Lake,28.629161784967522
Bagalagunte Lake,13.721203545776238
Halasuru lake,89.70220411038603
Palanahalli Lake,38.13486480062072
Begur Lake,64.80320284868979
Chikka Bellanduru Lake,27.6462361547224
Ramapura Kere,28.924602230643135
Abbigere Lake,17.00598994656837
Ullal Lake,20.317425824485134
Kaikondrahalli Lake,58.82181280023422
B Channasandra Lake,1.8807849553716496
Chandrasekhar Layout Lake,17.23614492098105
Amruthalli Lake,13.223370285754516
Kowdenahalli Lake,31.840913832481863
Sunkalpalya Lake,25.728565693758345
Attur Lake,44.87499305159033
Pattandur Agrahara Kunte,15.097938106093553
Haraluru Lake,17.67570046718665
Varthur Lake,24.55143631968488
Anchepalya Lake,76.4667217050867
Subedharana Lake,24.226990158292878
Pattandur Agrahara Lake,5.4111020196708965
Allalasandra Lake,67.95580580376054
Chudahalli Lake,93.18747502663511
Ambalipura Upper Lake,7.561355636575016
Doddanekundi Lake,28.274660219767828
Hulimavu Lake,31.19625196420383
Herohalli Kere,58.91179329493759
Bellandur Lake,31.725350492079343
Kengeri Lake,8.908438189366658
Madiwala Lake,65.80530556470313
Doddabommasandra Kere,49.62883236733547
Kammagondanahalli Lake,22.79840387955397
Hoodi Lake,36.54046569702688
Dore Kere,51.76033126238095
Byrasandra Melina Kere,8.92402372814175
Uttarahalli Lake,16.212537723773043
Hosakerahalli Lake,5.326556619000396
Arekere lake,27.74575427442612
Kalkere Lake,85.11234538787585
Jakkur Lake,83.27748674341757
