in_build_ha,in_green_ha,name,out_build_ha,out_green_ha,year
0.0,0.14147575535493737,NCBS Pond,0.22914828183940816,0.8094799125701307,2020
0.0,0.14147575535493737,NCBS Pond,0.21236560834697651,0.8775219536635454,2021
0.0,0.14147575535493737,NCBS Pond,0.18058478132060932,0.8529933528556074,2022
0.0,0.14147575535493737,NCBS Pond,0.15351228329228422,0.871256896864947,2023
0.0,0.14147575535493737,NCBS Pond,0.15939758040185067,0.8322238277689614,2024
0.0,0.14147575535493737,NCBS Pond,0.16319458538579007,0.8859132636216105,2025
0.07747516784667968,10.742054940359083,Vengayyana Lake,1.9781290316832298,6.736236257530657,2020
0.0,10.867952083913769,Vengayyana Lake,1.8083294711961935,7.653139007948333,2021
0.0,10.848355431413841,Vengayyana Lake,2.4847944851235773,6.700460685412835,2022
0.0,10.9068796654705,Vengayyana Lake,1.903195837982776,6.743681011696608,2023
0.02430580611883425,10.536898232475734,Vengayyana Lake,3.22316255564671,5.006491346504362,2024
6.1916840819744055,1.5156249377920117,Vengayyana Lake,3.800433357828177,4.467883467625638,2025
6.092723184434479,5.418788792957981,Halasuru lake,1.9955605388207531,11.295511167267437,2020
1.5498609474780514,3.5378088324393495,Halasuru lake,1.6829951025510301,11.334447647166522,2021
0.7430996983546837,3.8330899887982546,Halasuru lake,1.5169323140821271,11.838065947460093,2022
1.2025031406148272,3.5485625834057393,Halasuru lake,1.426607211049398,11.960672142106587,2023
1.0989200599460978,3.8772296172736684,Halasuru lake,1.8449192422724707,11.62444183449838,2024
1.2942307929244694,3.766396341597614,Halasuru lake,1.8058312694983396,11.909095596516922,2025
0.23241639022827149,1.9755024892111377,Chelekere,0.7355265261272355,4.386331470654056,2020
0.24210037002563475,2.096039880840825,Chelekere,0.578835998612946,4.46247397973154,2021
0.45404760570750513,0.9845806430711935,Chelekere,0.7396661451781028,4.325227090163885,2022
0.1530834539166619,1.0817248177980905,Chelekere,0.5248340778605143,4.102873930008832,2023
0.10553658812279795,0.8004705104423975,Chelekere,0.8504056213378907,3.1580954970954473,2024
0.14526026916503906,1.466578404660692,Chelekere,0.5320111936412137,4.489133141413669,2025
0.037918736799651506,30.971028475401614,Madiwala Lake,3.558792935976514,16.371911315699585,2020
0.2760610323767569,13.330266697262019,Madiwala Lake,3.157949179116042,15.681958409313138,2021
0.39012255076090496,20.122780865571226,Madiwala Lake,3.777672831052891,16.419871879909767,2022
2.8019200513263773,22.38066437006631,Madiwala Lake,4.092862798716228,15.759814028658406,2023
4.424239118789973,9.349600160342938,Madiwala Lake,5.522486858326032,11.125466957179047,2024
0.4155459086399453,25.31161928682811,Madiwala Lake,3.442016213504567,16.702006164374286,2025
1.351415211208568,0.25257154462328146,Iblur Lake,1.9508544557728489,0.8650416393115474,2020
0.08620409521663891,0.8075591116153493,Iblur Lake,1.186075396013447,1.4898582064041435,2021
1.1945081151715446,0.18543949950573493,Iblur Lake,1.2946569064061784,1.6181953636558382,2022
1.7371867938262344,0.18866888640160656,Iblur Lake,1.0511277491670497,1.692773759912229,2023
1.6974091067534802,0.19364589870078888,Iblur Lake,1.177032979814118,1.3085223425981114,2024
0.5734140297773772,0.317234058080935,Iblur Lake,0.8507573654653514,1.974446475079106,2025
2.7462535313265932,0.19533632542030488,Benniganahalli Lake,1.426681858747893,1.6403197190228627,2020
2.106197426820643,0.3975468352254232,Benniganahalli Lake,1.352656374206543,1.7375514357802446,2021
2.018234130931181,0.36902258089252543,Benniganahalli Lake,1.930653982717477,2.2584202440688195,2022
2.0861061888182397,0.3390937278986912,Benniganahalli Lake,1.5291943261299883,2.124043540724213,2023
2.4828556421796018,0.12214656948613188,Benniganahalli Lake,3.1580827123395148,0.7496672995952531,2024
2.1795774145298377,0.504690805014816,Benniganahalli Lake,1.9671134858045385,2.00539324795592,2025
0.037236845547545194,2.473628949225931,Puttenhalli Lake,2.1502007978790876,1.2089423636612247,2020
0.3623376747370702,1.1455643345881446,Puttenhalli Lake,1.830571264977548,1.4406085730070233,2021
0.9218782831708124,0.8551169670763203,Puttenhalli Lake,1.927007879533954,1.5286088826048616,2022
0.530017074246874,1.0245829051806878,Puttenhalli Lake,1.6215900705913464,1.5365882366584338,2023
0.6529370447375727,0.6450328743160474,Puttenhalli Lake,2.119006351770139,1.2614538093955852,2024
0.40402012360516715,0.9241955339858112,Puttenhalli Lake,1.699749656698189,1.6685889306371355,2025
0.011354657865038104,2.5393722543843573,Mathikere Lake,0.6905885578798782,10.20488046318802,2020
0.0,2.855554198264327,Mathikere Lake,0.47184853509940355,10.704525424011829,2021
1.2603595169007547,0.9263350718599213,Mathikere Lake,0.9142634879976158,9.067863526557472,2022
1.0007614552067776,0.441692738231584,Mathikere Lake,0.9223132840055578,8.128353520364202,2023
2.176664656494739,0.4975548966321758,Mathikere Lake,1.2405088001116575,6.353693869302786,2024
0.9273176429539101,1.2527333823559328,Mathikere Lake,0.7407907359643077,9.533861434508676,2025
0.17421892771402994,7.143649812484437,Anchepalya Lake,1.7811479467145137,8.13960390394622,2020
0.1936609748840332,8.526806725107821,Anchepalya Lake,1.1271805216561115,10.292746760795444,2021
1.1793981301490934,6.8836863134286865,Anchepalya Lake,1.5300714778615914,9.901809883120663,2022
0.0,5.520100944916969,Anchepalya Lake,1.2390855052933043,10.475964677886957,2023
2.072686877076392,2.1056260832214346,Anchepalya Lake,2.299779745501348,5.828737236145617,2024
0.22070083538279814,3.908676007974663,Anchepalya Lake,1.7359200337727871,9.2515651979783,2025
