name,sink_depth_2000,sink_depth_2021,total_runoff_20s,depth_change
Chikkabettahalli Lake,-0.29998779296875,10.498291015625,0.3721068203449249,10.79827880859375
Panathur Chikka Kere,-1.89996337890625,1.76971435546875,0.3259711489081383,3.669677734375
Chokkanahalli Lake,-0.89996337890625,0.709228515625,0.3721068203449249,1.60919189453125
Panathuru Kere,1.0,2.22357177734375,0.3259711489081383,1.22357177734375
Krishna Nagara Lake,-2.70001220703125,6.29998779296875,0.44680143147706985,9.0
Kalena Agrahara lake,5.9000244140625,0.9000244140625,0.44680143147706985,-5.0
Hemmigepura Kere,-4.70001220703125,-1.30853271484375,0.4858890473842621,3.3914794921875
ITI Layout Lake,-4.20001220703125,2.5164794921875,0.44680143147706985,6.71649169921875
Jogi Kere,-2.5999755859375,3.10137939453125,0.4858890473842621,5.70135498046875
Sankey Tank,-4.5999755859375,3.4000244140625,0.3591984435915947,8.0
Agrahara Lake,3.4000244140625,2.898193359375,0.3721068203449249,-0.5018310546875
Yelenahalli Lake,-0.0999755859375,1.01885986328125,0.44680143147706985,1.11883544921875
Basavanapura Pond,-9.70001220703125,0.1558837890625,0.5472732558846474,9.85589599609375
Iblur Lake,-2.0999755859375,0.4000244140625,0.3259711489081383,2.5
Kodigehalli Lake,0.79998779296875,-0.20001220703125,0.3425130248069763,-1.0
Bhoganahalli Lake,-4.0999755859375,2.6065673828125,0.3259711489081383,6.70654296875
Somasundarapalya Lake,2.5,-0.5,0.44680143147706985,-3.0
Benniganahalli Lake,-12.70001220703125,5.709716796875,0.3425130248069763,18.40972900390625
Nayandahalli Lake,0.0,0.47723388671875,0.4858890473842621,0.47723388671875
Yelachenahalli Kere,-8.89996337890625,-6.028564453125,0.44680143147706985,2.87139892578125
Deverabisanahalli Lake,-1.20001220703125,1.79998779296875,0.3259711489081383,3.0
Gubbalala Kere,-0.0999755859375,2.9000244140625,0.4858890473842621,3.0
Avalahalli Lake,4.0,1.0,0.44680143147706985,-3.0
Goshala Lake,-6.70001220703125,-4.861328125,0.3425130248069763,1.83868408203125
Doddkammanahalli Lake,-2.70001220703125,-1.20001220703125,0.44680143147706985,1.5
Basapura Lake,-2.39996337890625,2.44512939453125,0.44680143147706985,4.8450927734375
Nagaraesh Nagenahalli Lake,0.10003662109375,2.83624267578125,0.3721068203449249,2.7362060546875
Basavanapura Kere,-1.39996337890625,-0.39996337890625,0.3425130248069763,1.0
Nallurahalli Lake,-4.89996337890625,-0.39996337890625,0.3425130248069763,4.5
K100,-2.0,1.15875244140625,0.44680143147706985,3.15875244140625
Thubarahalli Lake,4.4000244140625,-0.5999755859375,0.3425130248069763,-5.0
Kacharakanahalli Lake,1.60003662109375,1.84222412109375,0.3591984435915947,0.2421875
Palace Grounds Lake,-16.70001220703125,-9.70001220703125,0.3591984435915947,7.0
Kundalahalli Lake,-1.70001220703125,2.79998779296875,0.3425130248069763,4.5
Thippasandra Lake,0.20001220703125,2.99749755859375,0.44680143147706985,2.7974853515625
Thirumenahalli Lake,-2.5999755859375,0.4000244140625,0.3721068203449249,3.0
Srigandakaval Lake,0.9000244140625,3.7816162109375,0.33519773930311203,2.881591796875
Lingadeeranahalli Lake,-2.5999755859375,1.02752685546875,0.4858890473842621,3.62750244140625
