buffer_total_ha,buffer_water_ha,buffer_weed_ha,lat,lon,name,potential_ha,static_total_ha,static_water_ha,static_weed_ha,year
0.7685483336923639,0.009682329559326172,0.7588660041330377,13.071195190065504,77.57895891953231,NCBS Pond,0.14147575535493737,0.13065433542588176,0.0,0.13065433542588176,2020
0.7434123559420718,0.02779392728917739,0.7156184286528945,13.071195190065504,77.57895891953231,NCBS Pond,0.14147575535493737,0.11785849271587294,0.0,0.11785849271587294,2021
0.8228830567423502,0.008429295636345358,0.8144537611060051,13.071195190065504,77.57895891953231,NCBS Pond,0.14147575535493737,0.134489292306339,0.0,0.134489292306339,2022
0.7586000900747264,0.008429295636345358,0.750170794438381,13.071195190065504,77.57895891953231,NCBS Pond,0.14147575535493737,0.12294644486072016,0.0,0.12294644486072016,2023
0.7907987233330223,0.0,0.7907987233330223,13.071195190065504,77.57895891953231,NCBS Pond,0.14147575535493737,0.1281862900827445,0.0,0.1281862900827445,2024
0.7191874689588361,0.008429295636345358,0.7107581733224908,13.071195190065504,77.57895891953231,NCBS Pond,0.14147575535493737,0.09678519493551817,0.0,0.09678519493551817,2025
11.087418493649352,0.31445815850650566,10.82138236044192,13.016536819104065,77.69922956789692,Vengayyana Lake,14.154800670462194,7.724957352142335,0.3002164512634277,7.473162926177977,2020
10.915489436642511,0.0336105075970818,10.891563329222432,13.016536819104065,77.69922956789692,Vengayyana Lake,14.154800670462194,7.2578255560931035,0.019368800354003905,7.248141155916102,2021
12.74781825785618,0.07234811593448415,12.714207736526188,13.016536819104065,77.69922956789692,Vengayyana Lake,14.154800670462194,9.050580468944473,0.05810640869140625,9.031211654857557,2022
14.133676030449966,0.014241707243077894,14.119434323206887,13.016536819104065,77.69922956789692,Vengayyana Lake,14.154800670462194,9.9982117174186,0.0,9.9982117174186,2023
16.22243554705751,0.006038476472742417,16.216397070584765,13.016536819104065,77.69922956789692,Vengayyana Lake,14.154800670462194,12.305305337009813,0.0,12.305305337009813,2024
4.909490540418438,0.04151019130332797,4.8679803491151095,13.016536819104065,77.69922956789692,Vengayyana Lake,14.154800670462194,2.432299190871295,0.0,2.432299190871295,2025
45.630755112089275,31.776431968249153,14.3676640488389,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,35.811645915087524,31.405982393490664,4.820362606626025,2020
46.783062511803124,34.79102029876709,12.757209801842183,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.381135429056194,34.190203192192534,2.7754907059733074,2021
47.327277759154086,34.85645993455775,13.555613210338523,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.7791940457572,34.30016027616014,3.359290983632405,2022
46.52556498573152,34.839445457458496,12.586889499739106,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.487374880092844,34.310684690841974,2.9159563427794213,2023
46.34689486467548,33.90012325313793,13.347539590205775,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.30809661673752,33.547338419204415,3.5514136521911635,2024
45.916251103656236,33.75958879274256,13.096173462799673,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.21944494359034,33.42381978016573,3.644546889827955,2025
4.564858965995639,0.4745170249938965,4.1000259719160494,13.026594703315865,77.64510807725,Chelekere,2.9414358670911604,1.9847689533817061,0.4745170249938965,1.5199359593021162,2020
4.390508984018963,0.46464316157920693,4.022706102591123,13.026594703315865,77.64510807725,Chelekere,2.9414358670911604,1.9448175435892736,0.4551489807128906,1.58650884302775,2021
4.455069736235376,0.8907403821907792,3.5740133674112955,13.026594703315865,77.64510807725,Chelekere,2.9414358670911604,1.7584669226373408,0.8772966220840753,0.890854313919965,2022
4.110166245598886,0.8105719481045592,3.2995942974943273,13.026594703315865,77.64510807725,Chelekere,2.9414358670911604,1.6871851800955975,0.7940900451660157,0.8930951349295825,2023
4.345963614104028,1.0249116088268804,3.3404200564246085,13.026594703315865,77.64510807725,Chelekere,2.9414358670911604,1.8816249593517826,0.9684022239685058,0.9325907865307379,2024
5.248968168056712,1.016176942877676,4.252159269460042,13.026594703315865,77.64510807725,Chelekere,2.9414358670911604,2.219463664909812,0.9644527301773371,1.2743789790134799,2025
85.21963111838846,47.3672783279419,40.33263958777933,12.906492240214547,77.6163313324215,Madiwala Lake,82.73265795340143,72.77481088247258,47.33452723057167,27.90723437718707,2020
86.59139183050121,63.342702567219455,23.830006976447006,12.906492240214547,77.6163313324215,Madiwala Lake,82.73265795340143,74.4006253819903,63.20265427603328,11.722866227752078,2021
90.48987008526072,57.68223320337632,33.592414478930294,12.906492240214547,77.6163313324215,Madiwala Lake,82.73265795340143,76.66513079264021,57.61730105262308,19.828465926711115,2022
74.03907803674139,47.63195419195736,26.852802139156562,12.906492240214547,77.6163313324215,Madiwala Lake,82.73265795340143,63.9933574062811,47.564817674877695,16.874218025775964,2023
77.01539330833886,61.71269114633896,15.351145075818238,12.906492240214547,77.6163313324215,Madiwala Lake,82.73265795340143,66.95360783023008,61.605889429518754,5.38609275965074,2024
78.12115534734993,44.751976025911226,34.32834858413395,12.906492240214547,77.6163313324215,Madiwala Lake,82.73265795340143,67.88344100241262,44.512875881817386,24.329734383290578,2025
1.7837282304980708,0.9449007232666016,0.8388275072314693,12.922434059675627,77.6668228891874,Iblur Lake,2.5612345260171323,1.04956925305834,0.8935354630085065,0.15603379004983342,2020
2.7752443734352266,1.2013091644287108,2.193965535086838,12.922434059675627,77.6668228891874,Iblur Lake,2.5612345260171323,1.5726057264739393,1.1582261501237459,0.9983934193899119,2021
