name,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,flow_accumulation_km2,flow_direction_code,encroachment_pct,sar_flood_freq_pct
Abbigere Lake,13.079431918151192,77.52858760777931,9.899677234894996,5.476681093900594,1.2069153976390565,4.2939707005085666,7.800793840038824,1.210250320180257,6.614748524105596,0.399088900273641,0.7652909784588783,4.2044063755349566,4.753039879905351,0.3266737887364875,81.43333143445973,7.368333339691162,5.506420135498047,32,4.031332444525643,17.00598994656837
Agara Lake,12.92076388508159,77.64136384676314,26.72469894477696,22.840236345494088,18.592973515327305,4.4614193589673015,28.247326586764967,18.66137890611736,9.807158149702783,4.377905755471123,2.0802542066621474,4.495162939986186,6.868989231646668,0.023121467190955966,81.65999789815396,7.086666504542033,0.0083355968818068,64,16.381496998403925,75.1817084258293
Agrahara Lake,13.089486907464831,77.62484842909419,4.2667081689094095,2.328796247991425,2.0337600129839326,0.29959229845383584,3.1404075474618156,2.07347997525533,1.0717683893400702,1.9530861396196155,1.0993428574396271,0.36992649003571154,1.8801276946782126,0.5394746401837839,84.54749807839592,6.272499720255534,2.7988803386688232,32,45.77501113976664,36.1084884275784
Akshaynagar Lake,12.871746433650207,77.6142692467821,1.1875241815095785,0.8652119366086074,0.40434078216652464,0.4673310824460298,2.402743871165755,0.41643731610915236,1.99276648306055,0.22626844174553362,0.26267129083371626,0.5258186742535759,2.176430482176238,0.9459378907942321,86.14666446531191,6.710833152135213,0.1584077477455139,1,19.053796568411904,7.429797718050908
Allalasandra Lake,13.091179583935364,77.58723823075299,13.948384854359341,13.405725105688555,12.030288524179396,1.809916261396222,17.931255583826204,12.386823225430755,6.072076467994241,0.369328806563234,2.3005983058161514,1.8424098981695245,4.91052631059734,0.18413730931535666,81.43333143445973,7.368333339691162,0.0083300024271011,32,2.6478248945633753,67.95580580376054
Ambalipura Lower Lake,12.916994280641036,77.66490178165023,2.194087861926509,1.71764489644917,0.6297312315622965,1.1411986550703859,2.550448386705685,0.6593908730440825,1.9443425038451154,0.26163759085212657,0.6142314094698039,1.2539869440036353,1.9640651493416579,0.625074492071586,81.65999789815396,7.086666504542033,0.0833573639392852,1,11.924663336973062,8.564986008701156
Ambalipura Upper Lake,12.913065011240976,77.66311421625305,3.4347974712147415,2.187649444932626,0.32935234253677664,1.9934904234767739,3.2850076338061167,0.4025719235064937,3.0180722898131727,0.08479496491974471,0.5945772599328735,1.6565520648746865,2.4442705703944783,0.4667290276600193,81.65999789815396,7.086666504542033,0.5168262720108032,1,2.468703486315202,7.561355636575016
Amruthalli Lake,13.061659792048138,77.5981920127002,7.4344396230929535,4.025925512783576,0.5825750656127929,3.517584361482509,5.3313411931056605,0.5987571154785156,4.806817991938871,0.24573156503764634,2.253503150676154,3.3036931702178767,1.729693977203868,0.5999282597304777,81.44179301241782,7.365355823501399,3.21570086479187,1,3.3053138837035103,13.223370285754516
Anchepalya Lake,13.050783425012762,77.47953064137124,21.46932714149624,18.241460349404324,13.659200561708937,4.808116094689464,22.51718489215825,13.672510057067873,9.077068841183731,0.6401109575343911,1.618864205133276,5.681424314522335,8.9817379433122,0.06863599984443473,79.33416453904162,7.6899999777476,14.922003746032717,32,2.981513828149625,76.4667217050867
Andrahalli Lake,13.01093089516202,77.48615165564563,3.549735056047627,2.1168359893404896,1.6544556629180907,0.5398572267774195,4.119096236907361,1.6544556629180907,2.5421174743442916,0.4411880259285721,0.2777586687260048,0.5253494483718374,3.0384131252109303,0.683176769367306,79.33416453904162,7.6899999777476,2.2581770420074463,16,12.428759300695614,24.17274504770677
Arekere lake,12.88291706899391,77.59856251865409,7.510894383568853,5.220696991256514,2.1405424371372797,3.208359435806773,7.362398845752892,2.158205202404845,5.333386473243066,0.08455164518468518,2.3712942382204147,3.351593141627592,2.609298096082601,0.4673718793621338,85.77973531294008,6.722543636946086,2.2676568031311035,1,1.125720065637641,27.74575427442612
Attur Lake,13.111343332824775,77.5628320143328,22.506600180840596,12.81456721861796,4.817508926623476,8.334386581382995,16.580539884763226,4.871968157069886,12.05223997161017,0.7159722559187146,1.0879110454644096,7.928259040528836,6.859201406246007,0.0026115844874439165,84.31574830661218,7.978333155314128,0.0083293439820408,4,3.1811657476734623,44.87499305159033
Avalahalli Lake,12.865453013013484,77.56633929223811,5.794656285131118,3.6674625554038642,3.0245077627932484,0.7383170011233663,5.220955115201861,3.0487014114928406,2.2707699483430157,1.9884336453202194,1.3751119028667376,0.48487298764895775,2.6765018854442926,0.5079079051399588,85.75499812404935,6.723333120346069,0.0083374083042144,8,34.31495411423227,35.51023916077654
B Channasandra Lake,13.006294115455495,77.66176829358362,1.7015233101100549,0.7127249181485643,0.0032282667795817,0.7094966513689828,1.8343504660886876,0.05486160028195842,1.7794888658067292,0.06280559654933954,0.5471720045391406,1.122822085854524,1.5869196382679658,0.9605834932821499,84.54749807839592,6.272499720255534,0.6666132807731628,4,3.6911393559032266,1.8807849553716496
B Narayanapura Lake,12.996369876041287,77.68277699822079,1.2442216766716452,0.6861849062945796,0.18240412000020342,0.5279937224414302,1.119460419970743,0.18950657981872557,0.9541667762990714,0.18152417634752058,1.7336648599452593,0.5064838386640361,0.562543978988049,0.8791607678630106,81.65999789815396,7.086666504542033,0.0083331260830163,1,14.589375812283448,7.247195369635692
BEL Lake,13.05633656442575,77.56435145747977,5.780303236975574,0.8201344810475867,0.006455267588297516,0.8136792134592893,2.301612110869464,0.008657652566947166,2.2929544583025168,0.058470814844767245,0.6465425910116956,3.6834459133003583,4.112528009662007,0.4443731456777085,81.43333143445973,7.368333339691162,0.0166622549295425,8,1.0115527239252746,5.2645652617677525
Bagalagunte Lake,13.058842393938042,77.49937518559601,2.9891722814223356,1.6756231734910356,0.5067330083211262,1.1785729652085648,2.5305439613865874,0.5067330083211262,2.0334937531041164,0.15886112672394395,1.3825000251814898,1.2772737836137162,1.1074386457974303,0.921577326582807,79.94080980542886,7.59704045949416,0.0166621841490268,64,5.314552383322422,13.721203545776238
Basapura Lake,12.868784605815643,77.64395196126645,2.603189689351999,1.8656604635854486,1.4865724757699408,0.40331300371007983,3.1183361444540583,1.5132674453720394,1.6292937149765911,0.7741422499503341,0.5922502656739678,0.3653763146114974,2.241218158919391,0.48043818706783786,86.14666446531191,6.710833152135213,1.3172998428344729,16,29.738218967171697,18.968226651394556
Basavanapura Kere,13.0102060073038,77.71311405750563,3.82266225650563,2.5371999170500312,2.082255737828772,0.5098238115353054,3.1246400274528554,2.08692083337522,1.0925988263916813,1.0965992023632574,2.021475179869708,0.33408223694096967,0.8848155085175957,0.6429725140254933,93.87749750073999,8.144999821980795,0.0166653208434581,4,28.686792836510755,32.823670068499204
