buffer_total_ha,buffer_water_ha,buffer_weed_ha,lat,lon,name,potential_ha,static_total_ha,static_water_ha,static_weed_ha,year,in_build_ha,in_green_ha,out_build_ha,out_green_ha
0.7685483336923639,0.0096823295593261,0.7588660041330377,13.071195190065504,77.57895891953231,NCBS Pond,0.1414757553549373,0.1306543354258817,0.0,0.1306543354258817,2020,0.0,0.1414757553549373,0.2291482818394081,0.8094799125701307
0.7434123559420718,0.0277939272891773,0.7156184286528945,13.071195190065504,77.57895891953231,NCBS Pond,0.1414757553549373,0.1178584927158729,0.0,0.1178584927158729,2021,0.0,0.1414757553549373,0.2123656083469765,0.8775219536635454
0.8228830567423502,0.0084292956363453,0.8144537611060051,13.071195190065504,77.57895891953231,NCBS Pond,0.1414757553549373,0.134489292306339,0.0,0.134489292306339,2022,0.0,0.1414757553549373,0.1805847813206093,0.8529933528556074
0.7586000900747264,0.0084292956363453,0.750170794438381,13.071195190065504,77.57895891953231,NCBS Pond,0.1414757553549373,0.1229464448607201,0.0,0.1229464448607201,2023,0.0,0.1414757553549373,0.1535122832922842,0.871256896864947
0.7907987233330223,0.0,0.7907987233330223,13.071195190065504,77.57895891953231,NCBS Pond,0.1414757553549373,0.1281862900827445,0.0,0.1281862900827445,2024,0.0,0.1414757553549373,0.1593975804018506,0.8322238277689614
0.7191874689588361,0.0084292956363453,0.7107581733224908,13.071195190065504,77.57895891953231,NCBS Pond,0.1414757553549373,0.0967851949355181,0.0,0.0967851949355181,2025,0.0,0.1414757553549373,0.16319458538579,0.8859132636216105
11.087418493649352,0.3144581585065056,10.82138236044192,13.016536819104063,77.69922956789692,Vengayyana Lake,14.154800670462194,7.724957352142335,0.3002164512634277,7.473162926177977,2020,0.0774751678466796,10.742054940359084,1.9781290316832296,6.736236257530657
10.915489436642511,0.0336105075970818,10.891563329222432,13.016536819104063,77.69922956789692,Vengayyana Lake,14.154800670462194,7.257825556093104,0.0193688003540039,7.248141155916102,2021,0.0,10.867952083913767,1.8083294711961937,7.653139007948333
12.74781825785618,0.0723481159344841,12.714207736526188,13.016536819104063,77.69922956789692,Vengayyana Lake,14.154800670462194,9.050580468944473,0.0581064086914062,9.031211654857556,2022,0.0,10.84835543141384,2.4847944851235773,6.700460685412835
14.133676030449966,0.0142417072430778,14.119434323206889,13.016536819104063,77.69922956789692,Vengayyana Lake,14.154800670462194,9.9982117174186,0.0,9.9982117174186,2023,0.0,10.9068796654705,1.903195837982776,6.743681011696608
16.22243554705751,0.0060384764727424,16.216397070584765,13.016536819104063,77.69922956789692,Vengayyana Lake,14.154800670462194,12.305305337009813,0.0,12.305305337009813,2024,0.0243058061188342,10.536898232475734,3.22316255564671,5.006491346504362
4.909490540418438,0.0415101913033279,4.8679803491151095,13.016536819104063,77.69922956789692,Vengayyana Lake,14.154800670462194,2.432299190871295,0.0,2.432299190871295,2025,6.1916840819744055,1.5156249377920117,3.800433357828177,4.467883467625638
45.630755112089275,31.776431968249153,14.3676640488389,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,35.811645915087524,31.405982393490664,4.820362606626025,2020,6.092723184434479,5.418788792957981,1.9955605388207531,11.295511167267437
46.78306251180312,34.79102029876709,12.757209801842183,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.381135429056194,34.190203192192534,2.7754907059733074,2021,1.5498609474780514,3.5378088324393495,1.68299510255103,11.334447647166522
47.327277759154086,34.85645993455775,13.555613210338525,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.7791940457572,34.30016027616014,3.359290983632405,2022,0.7430996983546837,3.8330899887982546,1.5169323140821271,11.838065947460093
46.52556498573152,34.839445457458496,12.586889499739106,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.48737488009285,34.310684690841974,2.9159563427794213,2023,1.2025031406148272,3.5485625834057393,1.426607211049398,11.960672142106588
46.34689486467548,33.90012325313793,13.347539590205775,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.30809661673752,33.547338419204415,3.5514136521911635,2024,1.0989200599460978,3.877229617273669,1.8449192422724707,11.62444183449838
45.91625110365624,33.75958879274256,13.096173462799673,12.982697388966644,77.61971614840355,Halasuru lake,37.82345834809546,36.21944494359034,33.42381978016573,3.644546889827955,2025,1.2942307929244694,3.766396341597614,1.8058312694983396,11.909095596516922
4.564858965995639,0.4745170249938965,4.1000259719160494,13.026594703315864,77.64510807725,Chelekere,2.9414358670911604,1.984768953381706,0.4745170249938965,1.5199359593021162,2020,0.2324163902282714,1.9755024892111377,0.7355265261272355,4.386331470654056
4.390508984018963,0.4646431615792069,4.022706102591123,13.026594703315864,77.64510807725,Chelekere,2.9414358670911604,1.9448175435892736,0.4551489807128906,1.58650884302775,2021,0.2421003700256347,2.096039880840825,0.578835998612946,4.46247397973154
4.455069736235376,0.8907403821907792,3.5740133674112955,13.026594703315864,77.64510807725,Chelekere,2.9414358670911604,1.7584669226373408,0.8772966220840753,0.890854313919965,2022,0.4540476057075051,0.9845806430711936,0.7396661451781028,4.325227090163885
4.110166245598886,0.8105719481045592,3.2995942974943273,13.026594703315864,77.64510807725,Chelekere,2.9414358670911604,1.6871851800955977,0.7940900451660157,0.8930951349295825,2023,0.1530834539166619,1.0817248177980905,0.5248340778605143,4.102873930008832
4.345963614104028,1.0249116088268804,3.3404200564246085,13.026594703315864,77.64510807725,Chelekere,2.9414358670911604,1.8816249593517824,0.9684022239685058,0.932590786530738,2024,0.1055365881227979,0.8004705104423975,0.8504056213378907,3.1580954970954473
