name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year,lat,lon,potential_ha,static_total_ha,static_water_ha,static_weed_ha,buffer_total_ha,buffer_water_ha,buffer_weed_ha,in_build_ha,out_build_ha,in_green_ha,out_green_ha,flow_accumulation_km2,flow_direction_code,encroachment_pct,sar_flood_freq_pct
Abbigere Lake,0.2906080774095313,79.80999792739749,9.220000267028809,2020,13.079431918151192,77.52858760777931,9.899677234894996,7.259410032908121,0.0,7.259410032908121,10.158352828219543,0.0,10.158352828219543,0.0,0.3060279223423378,6.262054226540961,5.9102725243093435,5.506420135498047,32,4.031332444525643,17.00598994656837
Abbigere Lake,0.2463530090744993,58.779998514801264,8.269999504089355,2021,13.079431918151192,77.52858760777931,9.899677234894996,4.593701276816574,0.0484097999572753,4.593701276816574,6.778683752860277,0.0484097999572753,6.778683752860277,0.0,0.1533931360701018,6.398475752288221,6.6145537297836,5.506420135498047,32,4.031332444525643,17.00598994656837
Abbigere Lake,0.2754890283286466,117.69999729841948,9.09000015258789,2022,13.079431918151192,77.52858760777931,9.899677234894996,8.80758265079274,0.0,8.80758265079274,12.564125782677143,0.0,12.564125782677143,0.0,0.340352166520661,6.475286734233185,6.379982945188633,5.506420135498047,32,4.031332444525643,17.00598994656837
Abbigere Lake,0.3983140341613764,58.109998618252575,4.605000019073486,2023,13.079431918151192,77.52858760777931,9.899677234894996,3.3365283431707633,0.0,3.3365283431707633,5.152038282778873,0.0,5.152038282778873,0.2634276455299527,0.6041209172028186,4.359710267734903,4.532731733180024,5.506420135498047,32,4.031332444525643,17.00598994656837
Abbigere Lake,0.4072872281641024,76.2749980604276,6.420000076293945,2024,13.079431918151192,77.52858760777931,9.899677234894996,1.4096204422236425,0.0,1.4096204422236425,2.8981469611583033,0.0,2.8981469611583033,0.7195446455024272,1.9914581028418448,1.4733699695512363,1.8591354935739557,5.506420135498047,32,4.031332444525643,17.00598994656837
Abbigere Lake,0.3419913552807692,97.92499818746,6.605000019073486,2025,13.079431918151192,77.52858760777931,9.899677234894996,7.45324381749172,7.193082585877064,0.3569814571395575,9.253415432538796,7.213092121124268,2.1371435369394343,1.411561110609466,1.1963936257755057,0.2575413028612324,3.2215628533965472,5.506420135498047,32,4.031332444525643,17.00598994656837
Agara Lake,0.0288369378225608,76.81999846175313,7.144999980926514,2020,12.920763885081588,77.64136384676314,26.72469894477696,15.54334076499191,8.399474070739746,7.2988744243547075,19.42578056456024,8.399474070739746,11.18131422392303,1.7451627332410626,2.157159739948349,7.650159530337472,5.054996489191992,0.0083355968818068,64,16.381496998403925,75.1817084258293
Agara Lake,0.0229417547308921,63.28999811597168,5.569999694824219,2021,12.920763885081588,77.64136384676314,26.72469894477696,24.254742228839355,19.07416058451634,5.44975781226663,30.973236490083583,19.095094361877443,12.159095925355796,5.393520934421312,1.5496273958752202,5.865165376308666,8.429818174342731,0.0083355968818068,64,16.381496998403925,75.1817084258293
Agara Lake,0.0221583927254853,97.71999745536596,8.40999984741211,2022,12.920763885081588,77.64136384676314,26.72469894477696,24.93058073073144,21.17140929027782,4.002322803661867,31.70632370196772,21.26521245956421,10.702688976015578,3.2157012742435227,1.8770473637868856,3.964673306044034,7.4825123400968705,0.0083355968818068,64,16.381496998403925,75.1817084258293
Agara Lake,0.0190249447038584,70.4099979000166,6.529999732971191,2023,12.920763885081588,77.64136384676314,26.72469894477696,24.153604504394533,21.908180173324883,2.3595154652973243,27.923506701815732,21.991383602330824,6.058067929807178,4.170190599107928,1.961049553940718,2.746126656733494,6.644856043901629,0.0083355968818068,64,16.381496998403925,75.1817084258293
Agara Lake,0.0246835831899729,84.55499797128141,7.349999904632568,2024,12.920763885081588,77.64136384676314,26.72469894477696,24.139736440561325,19.655457694854736,4.73590215001125,29.7527661401846,19.666931389052447,10.337724101260315,3.1285182632476207,2.637004169311524,3.6895466053173593,6.695924412090824,0.0083355968818068,64,16.381496998403925,75.1817084258293
Agara Lake,0.0210831899729663,97.16499748453498,7.514999866485596,2025,12.920763885081588,77.64136384676314,26.72469894477696,24.019413403445967,21.3491592782503,2.922143498212029,29.70234592197792,21.550177553139484,8.404057741854798,8.61434072856529,2.29963701711019,3.055306165176092,6.905827930255963,0.0083355968818068,64,16.381496998403925,75.1817084258293
Agrahara Lake,0.645747440482586,82.59999796561897,7.794999599456787,2020,13.089486907464831,77.62484842909419,4.2667081689094095,2.204940803835999,1.341492265292897,0.8731301738275264,2.8500408256411083,1.3554261810302737,1.504296279895259,0.3432606557599236,1.339934631799436,1.2140370590748504,1.27383649417952,2.7988803386688232,32,45.77501113976664,36.1084884275784
Agrahara Lake,0.5370918970360251,64.42999852448702,4.339999675750732,2021,13.089486907464831,77.62484842909419,4.2667081689094095,2.456587054048426,1.905456292949003,0.5608124032503017,3.330818505958109,1.9266419494628904,1.4138581986460967,1.8706783465755683,0.6788512941098681,0.6620330826523726,2.1916924679505594,2.7988803386688232,32,45.77501113976664,36.1084884275784
Agrahara Lake,0.4103148168045556,114.18499760236593,11.094999313354492,2022,13.089486907464831,77.62484842909419,4.2667081689094095,2.884667094780417,2.7867498414611815,0.1058903565619973,4.029225797855154,2.8270329948425292,1.2118744283788343,2.8421440450241997,0.805090826888739,0.0919943999825272,2.4687021916916776,2.7988803386688232,32,45.77501113976664,36.1084884275784
