system:index,impervious_fraction,max_3day_rain_mm,name,peak_30min_intensity_mm,.geo
10,0.4349598612411549,60.82999871019274,Agrahara Lake,5.019999980926514,"{""type"":""Polygon"",""coordinates"":[[[77.62484842909419,13.091286680655136],[77.62433231493299,13.091215049169374],[77.62385728430053,13.091005856697574],[77.62346115021397,13.090675755280929],[77.62317544508221,13.090251021413847],[77.62302291068373,13.08976546430342],[77.62301568803035,13.089257734534414],[77.62315435116933,13.088768247408227],[77.62342786176256,13.088335965881242],[77.62381444797307,13.087995299181792],[77.62428333762595,13.087773363954568],[77.62479720764632,13.087687825908166],[77.62531515480701,13.087745493729377],[77.62579595136762,13.087941777155928],[77.6262013265363,13.088261052331305],[77.62649901263305,13.088677905368812],[77.62666531353985,13.089159155166758],[77.6266869910066,13.089666494499284],[77.62656231863375,13.090159539191022],[77.62630121956605,13.090599042686343],[77.62592447685253,13.09095002013702],[77.62546207925213,13.091184533311624],[77.62495083411633,13.091283914611777],[77.62484842909419,13.091286680655136]]]}"
11,0.9341860672334491,63.59999836515635,Yelenahalli Lake,4.654999732971191,"{""type"":""Polygon"",""coordinates"":[[[77.61409749446442,12.868436774549783],[77.61358184279736,12.868365143073058],[77.6131072378289,12.868155950625535],[77.6127114586827,12.86782584924084],[77.61242600951189,12.867401115403412],[77.61227361172692,12.86691555831108],[77.6122663954786,12.866407828542968],[77.61240493432057,12.865918341400201],[77.61267819982267,12.865486059844324],[77.61306443966444,12.865145393112696],[77.61353290924036,12.864923457860046],[77.6140463189036,12.864837919802904],[77.6145638020562,12.864895587631414],[77.61504416787695,12.86509187108102],[77.61544917984955,12.86541114628802],[77.61574659920102,12.865827999355847],[77.61591275105188,12.866309249173348],[77.61593440902985,12.866816588508563],[77.61580984830277,12.86730963318528],[77.6155489831428,12.867749136652563],[77.61517257798795,12.868100114070936],[77.6147105947268,12.868334627219042],[77.6141998077201,12.868434008506782],[77.61409749446442,12.868436774549783]]]}"
12,0.8589523756844957,70.2199983606115,Basavanapura Pond,5.464999675750732,"{""type"":""Polygon"",""coordinates"":[[[77.5892059273374,12.846493259885277],[77.58869032074453,12.846421628409436],[77.58821575726085,12.846212435964304],[77.58782001270677,12.845882334582749],[77.5875345884816,12.845457600748238],[77.58738220401078,12.844972043657688],[77.58737498838663,12.844464313889663],[77.58751351511471,12.843974826745264],[77.5877867567305,12.843542545186546],[77.58817296281556,12.843201878451755],[77.58864139145128,12.842979943196603],[77.58915475624869,12.842894405138404],[77.5896721941796,12.84295207296763],[77.59015251802097,12.843148356419508],[77.59055749459691,12.843467631629617],[77.59085488795166,12.843884484700427],[77.59102102527567,12.844365734519851],[77.59104268135422,12.84487307385533],[77.59091813150798,12.845366118530572],[77.59065728914433,12.845805621995092],[77.5902809168876,12.846156599410289],[77.58981897400751,12.846391112555787],[77.5893082316496,12.846490493842309],[77.5892059273374,12.846493259885277]]]}"
13,0.8096424479062666,70.4099979000166,Iblur Lake,6.529999732971191,"{""type"":""Polygon"",""coordinates"":[[[77.6668228891874,12.924233832865935],[77.66630712253118,12.924162201386945],[77.6658324117306,12.92395300893335],[77.66543654433623,12.923622907540658],[77.66515103152636,12.923198173695809],[77.6649985997755,12.922712616598952],[77.6649913819348,12.922204886830615],[77.66512995168058,12.921715399691996],[77.66540327811929,12.921283118143348],[77.66578960407807,12.920942451419773],[77.66625817809688,12.920720516173484],[77.66677170221779,12.92063497811903],[77.66728930073576,12.920692645945714],[77.66776977365049,12.920888929389552],[77.66817487592385,12.921208204588638],[77.66847236159575,12.921625057648882],[77.66863855050617,12.922106307461489],[77.6686602133297,12.92261364679603],[77.66853562484442,12.923106691476505],[77.66827470152845,12.923546194950806],[77.66789821244701,12.92389717237726],[77.6674361261694,12.924131685531995],[77.66692522525882,12.924231066822843],[77.6668228891874,12.924233832865935]]]}"
14,0.1889202800638742,59.14477812527638,Kodigehalli Lake,6.248971882491422,"{""type"":""Polygon"",""coordinates"":[[[77.7284285287259,13.001317413699427],[77.72791260232279,13.00124578221731],[77.72743774449654,13.001036589755318],[77.7270417545047,13.000706488351577],[77.72675615328514,13.000281754496477],[77.72660367434759,12.999796197393358],[77.72659645429458,12.999288467624712],[77.72673506697295,12.998798980491829],[77.72700847806689,12.998366698953172],[77.72739492366249,12.998026032240723],[77.72786364277715,12.997804097003229],[77.72837732590676,12.99771855895249],[77.72889508469451,12.99777622677665],[77.72937570638808,12.997972510212513],[77.72978093411047,12.998291785400662],[77.73007851191701,12.998708638450417],[77.73024475231182,12.999189888256263],[77.73026642186686,12.999697227589879],[77.73014179481882,13.000190272275546],[77.72988079071041,13.00062977575954],[77.7295041850352,13.000980753197172],[77.72904195564352,13.00121526636107],[77.72853089649375,13.001314647656212],[77.7284285287259,13.001317413699427]]]}"
15,0.2318696339983719,67.86038896319356,Bhoganahalli Lake,6.381633204977616,"{""type"":""Polygon"",""coordinates"":[[[77.69897954422261,12.924756319348925],[77.69846377648707,12.924684687869917],[77.69798906469313,12.924475495416266],[77.69759319647044,12.924145394023498],[77.69730768306323,12.92372066017858],[77.69715525099355,12.92323510308168],[77.6971480331379,12.922727373313343],[77.69728660317377,12.922237886174763],[77.69755993018443,12.921805604626181],[77.69794625695154,12.92146493790268],[77.69841483195069,12.921243002656452],[77.6989283571459,12.921157464602022],[77.69944595674673,12.92121513242869],[77.69992643066668,12.921411415872475],[77.70033153378762,12.921730691071486],[77.70062902008202,12.922147544131656],[77.70079520934031,12.922628793944218],[77.7008168722093,12.923136133278755],[77.70069228346348,12.923629177959267],[77.70043135960162,12.924068681433628],[77.70005486973244,12.92441965886016],[77.6995927824879,12.924654172014959],[77.69908188050819,12.924753553305836],[77.69897954422261,12.924756319348925]]]}"
16,0.7389322076597422,63.853427074643385,Somasundarapalya Lake,4.724776364798502,"{""type"":""Polygon"",""coordinates"":[[[77.64804602911603,12.900283697478036],[77.64753031188354,12.900212066000018],[77.64705564657092,12.900002873549031],[77.64665981710668,12.899672772159771],[77.64637433164965,12.899248038318108],[77.64622191449776,12.898762481223194],[77.64621469734149,12.898254751454955],[77.64635325380445,12.897765264314556],[77.64662655405186,12.897332982762803],[77.6470128429965,12.896992316035773],[77.64748137212447,12.896770380786748],[77.64799484705007,12.896684842731142],[77.64851239598256,12.896742510558612],[77.64899282286699,12.896938794004926],[77.64939788632799,12.897258069207409],[77.64969534349454,12.897674922270907],[77.64986151647634,12.898156172085613],[77.64988317721718,12.898663511420446],[77.64975860066272,12.899156556099308],[77.64949770234291,12.899596059570595],[77.64912124933416,12.899947036993579],[77.64865920733428,12.900181550145469],[77.64814835538097,12.900280931434985],[77.64804602911603,12.900283697478036]]]}"
17,0.458843724378088,70.4099979000166,Benniganahalli Lake,6.529999732971191,"{""type"":""Polygon"",""coordinates"":[[[77.66575216261633,12.998743142221246],[77.66523624156477,12.998671510739237],[77.66476138866392,12.998462318277523],[77.66436540277911,12.998132216874154],[77.6640798045213,12.997707483019392],[77.66392732716452,12.997221925916486],[77.66392010718562,12.99671419614785],[77.66405871842574,12.996224709014776],[77.66433212668372,12.995792427475784],[77.66471856827144,12.995451760762965],[77.66518728252535,12.995229825525177],[77.66570096032815,12.995144287474313],[77.66621871374683,12.995201955298556],[77.6666993304563,12.995398238734689],[77.66710455397609,12.995717513923202],[77.66740212869611,12.99613436697331],[77.66756836736619,12.996615616779378],[77.66759003669571,12.99712295611302],[77.66746541093953,12.99761600079852],[77.66720440953769,12.998055504282188],[77.66682780776839,12.998406481719448],[77.66636558317109,12.998640994883042],[77.66585452932233,12.998740376178038],[77.66575216261633,12.998743142221246]]]}"
18,0.7344712770074763,70.91499849408865,Nayandahalli Lake,5.704999923706055,"{""type"":""Polygon"",""coordinates"":[[[77.52145065959428,12.941754943914153],[77.52093485671823,12.941683312434455],[77.52046011258216,12.94147411997895],[77.52006421739095,12.941144018583747],[77.51977868453572,12.94071928473657],[77.5196262420861,12.940233727638292],[77.51961902374381,12.939725997869886],[77.51975760322382,12.939236510732568],[77.52003094885664,12.938804229186191],[77.52041730194097,12.938463562465142],[77.52088590885772,12.938241627220854],[77.52139946903107,12.938156089167242],[77.52191710388739,12.938213756993353],[77.52239761053512,12.93841004043538],[77.52280274125185,12.93872931563198],[77.52310024781367,12.93914616868984],[77.5232664483973,12.93962741850091],[77.52328811274708,12.940134757835242],[77.52316351551838,12.940627802516898],[77.52290257388414,12.941067305993398],[77.52252605836709,12.941418283422394],[77.52206393964087,12.94165279657921],[77.52155300285231,12.941752177871034],[77.52145065959428,12.941754943914153]]]}"
19,0.8973742177491454,70.46105549393877,Yelachenahalli Kere,5.548242496842729,"{""type"":""Polygon"",""coordinates"":[[[77.56561653883097,12.901352498009253],[77.56510081939501,12.901280866531192],[77.56462615205439,12.901071674080088],[77.56423032089911,12.900741572690677],[77.56394483422261,12.900316838848871],[77.56379241641984,12.899831281753869],[77.56378519923307,12.899323551985628],[77.5639237562882,12.898834064845303],[77.56419705770331,12.898401783293693],[77.56458334829816,12.898061116566815],[77.5650518794275,12.897839181317915],[77.56556535654639,12.89775364326236],[77.56608290768956,12.897811311089793],[77.56656333662616,12.898007594535997],[77.56696840181752,12.898326869738328],[77.56726586025493,12.898743722801683],[77.56743203394689,12.899224972616297],[77.56745369478057,12.899732311951114],[77.56732911769421,12.900225356630047],[77.56706821825999,12.900664860101468],[77.566691763643,12.901015837524609],[77.56622971966908,12.901250350676628],[77.5657188655331,12.9013497319662],[77.56561653883097,12.901352498009253]]]}"
