elevation,name,slope
934.6198241113959,Chikkabettahalli Lake,3.211884757840358
873.7079745413703,Panathur Chikka Kere,2.538609757958079
906.2280997304582,Chokkanahalli Lake,3.1739407409976597
874.2939167208848,Panathuru Kere,4.369802640032364
925.5259454025214,Krishna Nagara Lake,3.0703783238001425
914.5367732897502,Kalena Agrahara lake,7.194632432615536
782.5835711250074,Hemmigepura Kere,1.8873662517107104
894.331523924407,ITI Layout Lake,1.9016421160210932
872.8330404217927,Jogi Kere,2.140309291061911
929.2549744095023,Sankey Tank,8.118587198835796
899.1844822109275,Agrahara Lake,6.437908737502493
912.9954441913442,Yelenahalli Lake,4.581657471309218
926.0395248822446,Basavanapura Pond,2.4824784271618934
881.3897097625332,Iblur Lake,1.4895110113639631
871.4603842067994,Kodigehalli Lake,2.7182767935131524
883.5953907629402,Bhoganahalli Lake,2.8979409511354524
899.3818079730491,Somasundarapalya Lake,5.0054186932964315
900.6112720868127,Benniganahalli Lake,9.094169480374882
811.1963300912463,Nayandahalli Lake,2.8720273512076506
889.0976190476192,Yelachenahalli Kere,3.7992810145601053
879.3750579508578,Deverabisanahalli Lake,2.4753910580441865
875.6505835220343,Gubbalala Kere,3.471583991407039
909.5864066193851,Avalahalli Lake,3.099767868449784
889.046178773967,Goshala Lake,2.6916210434258443
908.8122777066438,Doddkammanahalli Lake,3.610428693797716
908.2246939581415,Basapura Lake,2.083818062325913
895.8170960586931,Nagaraesh Nagenahalli Lake,3.538210360126433
880.1109521680822,Basavanapura Kere,3.6080672761399564
876.0601164963178,Nallurahalli Lake,4.560633190897403
880.513462811741,K100,2.499956447533283
873.0413868647902,Thubarahalli Lake,3.893219444092246
892.6427707531608,Kacharakanahalli Lake,2.5099350189592498
924.484638554217,Palace Grounds Lake,3.85460010981823
887.7851624994286,Kundalahalli Lake,2.9961864169464465
888.6566153846153,Thippasandra Lake,4.032269944851215
900.4160786442316,Thirumenahalli Lake,4.95291982571471
880.4800897363991,Srigandakaval Lake,4.803648738598997
841.8986921725552,Lingadeeranahalli Lake,2.883960960003494
888.1668214175176,Garudacharpalya Lake,2.1045240706720056
873.1361437456806,Gowdana Kere,3.3856898012207393
904.8835644765501,Lalbagh Tank,6.923321278302511
887.4132744809548,Carmelaram Lake,4.430353214981628
892.111337244104,Byrasandra Lake,1.9085384518118595
885.4635894855995,Lakshmipura Lake,2.4308816619135873
910.6404745636374,Doddathogur Lake,2.6795990171251227
903.6722948699526,Mathikere Lake,1.9256319797772201
884.9298001783186,Kasavanahalli Lake,5.745331581654417
900.2288357961614,Sarakki Kere,2.4999637517923006
918.6449120406014,Gottigere Tank,3.500204325990076
896.5791805094133,Shivapura Old Lake,2.0488686942842977
901.4487622337363,Akshaynagar Lake,2.535673409391561
908.9425099075299,Chunchagatta Lake,1.7915179293662742
896.7239282005639,Horamavu Lake,3.9676055415211433
846.3230293663062,Nagarbhavi Lake,3.459445440649434
890.9721664275467,Dasarahalli Tank,2.3995720857082508
883.9761119440282,Devasandra lake,4.6414545066055215
906.0475892298059,Kattigenahalli Lake,2.7599784267829506
