elevation,id,name,slope
894.8651214744488,65,B Narayanapura Lake,0.7360341441561409
876.7985227251976,133,Doddanekundi Lake,1.0324517537256748
895.6086273717464,110,Halasuru lake,1.1547102855066753
895.1774138519279,112,Begur Lake,1.2733912830657739
900.145419337381,134,Hulimavu Lake,1.2756892012313745
863.9989316071101,126,Varthur Lake,1.323501395865968
887.2658118580447,155,Rachenahalli Lake,1.4126269667211921
881.5200162844349,13,Iblur Lake,1.4197555832420246
872.9622215817865,114,Ramapura Kere,1.47052836629243
906.1580567909685,63,Konanakunte Lake,1.475899324386935
911.2003755868542,161,Vidyaranyapura Kere,1.506545052931342
901.6605686807442,78,Gantiganahalli Lake,1.5077424021161914
866.9788893489812,152,Yellamallappa Chetty Lake,1.6118171049775691
877.2160263054433,147,Kalkere Lake,1.624217027427257
833.4559892265904,145,Hosakerahalli Lake,1.7288777255267957
876.3007412302431,136,Bellandur Lake,1.7400472405542504
903.6411170253797,123,Attur Lake,1.7548208211423404
896.4306295360115,80,Yelahanka Lake,1.7657550487469436
891.7988456342871,42,Byrasandra Lake,1.806098728577833
813.4085626911316,64,Halagevader Halli Lake,1.844819046663582
894.1338647046803,7,ITI Layout Lake,1.8453996783747113
903.9409725022175,45,Mathikere Lake,1.873508662521315
884.7325910215626,84,Kaggadasapura Lake,1.8737815693257853
889.4624758898829,86,Haralur Lake,1.88545848843342
903.7168463242798,130,Allalasandra Lake,1.9399379827318641
883.2006551240055,91,Lal Bahadur Shastri Nagar Lake,1.9656057700094087
887.5145619243993,138,Madiwala Lake,2.005472797339033
877.8812904735894,59,Agara Lake,2.024819820434143
905.4223914172001,70,Singasandra Lake,2.032176276415891
896.7709975230803,49,Shivapura Old Lake,2.041455490380841
876.9099987465007,154,Saul Kere,2.0444291082645076
872.8022700119474,8,Jogi Kere,2.052881935270884
911.6261495401833,128,Subedharana Lake,2.086121207145584
900.8345222654558,125,Haraluru Lake,2.1457487155723194
867.7030958307408,105,Sheelavathana Kere,2.174136242610776
